----,
DateTime:        , 2023/03/09, 12:47:29, 1678380449320,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      69,      70,      70,
Lamps:,        #10000,
Gain:,              2,      25, 
SNR_raw:,    1544.49,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,   1042.912,
    1,        0.8,    163.063,    1065.541,   1075.375,
    2,        3.3,    180.100,    1126.200,   1116.945,
    3,        5.8,    180.349,    1181.045,   1163.512,
    4,        8.3,    180.335,    1226.329,   1213.788,
    5,       10.8,    180.418,    1272.323,   1266.775,
    6,       13.3,    180.418,    1323.039,   1321.633,
    7,       15.8,    180.169,    1373.434,   1377.637,
    8,       18.3,    180.584,    1425.098,   1434.340,
    9,       20.8,    180.390,    1478.738,   1491.190,
   10,       23.3,    180.543,    1534.818,   1547.859,
   11,       25.8,    180.501,    1591.958,   1604.005,
   12,       28.3,    180.543,    1648.642,   1659.380,
   13,       30.8,    180.778,    1702.919,   1713.797,
   14,       33.3,    180.847,    1758.669,   1767.059,
   15,       35.8,    180.847,    1813.411,   1819.013,
   16,       38.3,    180.681,    1868.210,   1869.523,
   17,       40.8,    180.764,    1919.353,   1918.517,
   18,       43.3,    180.819,    1969.645,   1965.924,
   19,       45.8,    180.681,    2019.305,   2011.672,
   20,       48.3,    180.750,    2063.622,   2055.739,
   21,       50.8,    180.695,    2109.081,   2098.094,
   22,       53.3,    180.972,    2150.061,   2138.745,
   23,       55.8,    180.806,    2190.199,   2177.673,
   24,       58.3,    181.027,    2227.016,   2214.900,
   25,       60.8,    180.819,    2263.309,   2250.433,
   26,       63.3,    180.985,    2296.594,   2284.301,
   27,       65.8,    181.013,    2327.732,   2316.538,
