Source DataFile                                            ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,
-----------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_10C_4S_data.csv , 2023/03/14, 11:22:50,    1678803770799,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    40.2654,     0.9800,    271.59,    719.14,   1971.17,    0.6352,    0.3290,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_10C_4S_data.csv , 2023/03/14, 11:22:55,    1678803775234,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     9.3834,     0.9710,    270.52,    788.07,   1826.63,    0.5686,    0.3750,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_10C_4S_data.csv , 2023/03/14, 11:22:59,    1678803779658,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     8.9194,     0.9706,    282.14,    781.32,   1784.27,    0.5621,    0.4230,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_10C_4S_data.csv , 2023/03/14, 11:23:04,    1678803784086,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    11.8255,     0.9744,    278.39,    760.15,   1852.01,    0.5896,    0.3960,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_10C_4S_data.csv , 2023/03/14, 11:23:08,    1678803788528,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    12.0551,     0.9744,    277.16,    754.80,   1850.87,    0.5922,    0.3910,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_10C_4S_data.csv , 2023/03/14, 11:23:13,    1678803792959,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    12.4616,     0.9748,    277.73,    762.00,   1826.25,    0.5828,    0.3770,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_10C_4S_data.csv , 2023/03/14, 11:23:17,    1678803797391,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    13.4762,     0.9748,    280.27,    764.87,   1820.19,    0.5798,    0.3990,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_10C_4S_data.csv , 2023/03/14, 11:23:21,    1678803801825,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    10.7220,     0.9753,    279.21,    761.36,   1827.02,    0.5833,    0.3900,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_10C_4S_data.csv , 2023/03/14, 11:23:26,    1678803806258,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    11.0105,     0.9731,    278.66,    758.46,   1825.98,    0.5846,    0.4000,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_10C_4S_data.csv , 2023/03/14, 11:23:30,    1678803810688,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   112  ,     8.7276,     0.9734,    277.72,    757.72,   1823.00,    0.5844,    0.3800,
