----,
DateTime:        , 2023/09/12, 15:42:49, 1694544169235,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,-Not Acquired--,
PIF:,        -1160.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      56,
Lamps:,        #10000,
Gain:,              2,      25, 
SNR_raw:,     230.02,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    224.520,
    1,        0.8,    338.809,     258.553,    245.413,
    2,        3.3,    359.867,     275.558,    267.794,
    3,        5.8,    360.136,     291.557,    290.091,
    4,        8.3,    360.330,     308.468,    312.027,
    5,       10.8,    360.225,     327.434,    333.386,
    6,       13.3,    360.673,     346.159,    354.043,
    7,       15.8,    360.538,     366.258,    373.866,
    8,       18.3,    360.822,     385.509,    392.799,
    9,       20.8,    360.956,     404.897,    410.790,
   10,       23.3,    360.956,     423.320,    427.811,
   11,       25.8,    361.031,     440.406,    443.858,
   12,       28.3,    361.284,     457.535,    458.940,
   13,       30.8,    361.523,     472.999,    473.076,
   14,       33.3,    361.523,     487.245,    486.285,
   15,       35.8,    361.508,     500.681,    498.597,
   16,       38.3,    361.672,     512.343,    510.053,
   17,       40.8,    361.508,     523.640,    520.686,
   18,       43.3,    361.597,     533.743,    530.542,
   19,       45.8,    361.746,     542.922,    539.662,
   20,       48.3,    361.523,     551.556,    548.087,
   21,       50.8,    361.806,     558.587,    555.862,
   22,       53.3,    362.074,     565.906,    563.028,
   23,       55.8,    361.940,     572.194,    569.625,
   24,       58.3,    361.866,     577.562,    575.692,
   25,       60.8,    362.045,     582.939,    581.265,
   26,       63.3,    361.970,     588.170,    586.381,
   27,       65.8,    362.119,     591.656,    591.073,
   28,       68.3,    362.194,     596.366,    595.373,
   29,       70.8,    362.060,     598.935,    599.313,
