----,
DateTime:        , 2023/09/13, 10:50:30, 1694613030668,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,        -1110.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      56,
Lamps:,        #10000,
Gain:,              2,      10, 
SNR_raw:,     183.79,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    402.431,
    1,        0.8,    512.126,     496.069,    464.119,
    2,        3.3,    539.330,     553.926,    539.581,
    3,        5.8,    539.820,     608.815,    618.479,
    4,        8.3,    540.008,     672.027,    695.988,
    5,       10.8,    540.422,     740.532,    769.596,
    6,       13.3,    540.875,     809.892,    838.110,
    7,       15.8,    541.063,     880.397,    901.091,
    8,       18.3,    541.176,     946.735,    958.525,
    9,       20.8,    541.515,    1007.728,   1010.622,
   10,       23.3,    541.741,    1062.685,   1057.721,
   11,       25.8,    541.854,    1111.092,   1100.203,
   12,       28.3,    542.080,    1153.888,   1138.452,
   13,       30.8,    542.043,    1190.958,   1172.864,
   14,       33.3,    542.193,    1221.981,   1203.784,
   15,       35.8,    542.382,    1250.042,   1231.549,
   16,       38.3,    542.419,    1273.830,   1256.480,
   17,       40.8,    542.419,    1294.386,   1278.860,
   18,       43.3,    542.645,    1311.722,   1298.926,
   19,       45.8,    542.758,    1328.123,   1316.924,
   20,       48.3,    542.608,    1341.853,   1333.086,
   21,       50.8,    542.909,    1353.449,   1347.553,
   22,       53.3,    542.871,    1365.332,   1360.537,
   23,       55.8,    542.871,    1374.543,   1372.181,
   24,       58.3,    543.098,    1383.269,   1382.601,
   25,       60.8,    542.985,    1391.568,   1391.959,
   26,       63.3,    542.985,    1398.659,   1400.348,
   27,       65.8,    542.758,    1405.874,   1407.888,
   28,       68.3,    542.947,    1411.556,   1414.621,
