----,
DateTime:        , 2024/03/11, 14:59:01, 1710179940666,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      69,      70,      70,
Lamps:,        #10000,
Gain:,              1,      10, 
SNR_raw:,     346.05,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    930.931,
    1,        0.8,    178.816,    1047.447,   1019.934,
    2,        3.3,    179.747,    1136.448,   1124.241,
    3,        5.8,    179.933,    1224.897,   1234.170,
    4,        8.3,    179.915,    1328.962,   1344.042,
    5,       10.8,    180.101,    1433.084,   1450.593,
    6,       13.3,    180.176,    1536.834,   1551.818,
    7,       15.8,    180.120,    1634.468,   1646.554,
    8,       18.3,    180.138,    1728.671,   1734.235,
    9,       20.8,    180.250,    1810.817,   1814.662,
   10,       23.3,    180.306,    1890.674,   1887.855,
   11,       25.8,    180.343,    1959.041,   1954.011,
   12,       28.3,    180.362,    2018.719,   2013.441,
   13,       30.8,    180.436,    2071.643,   2066.542,
   14,       33.3,    180.474,    2119.422,   2113.756,
   15,       35.8,    180.436,    2163.088,   2155.549,
   16,       38.3,    180.604,    2197.071,   2192.384,
   17,       40.8,    180.436,    2228.485,   2224.754,
   18,       43.3,    180.511,    2257.481,   2253.076,
   19,       45.8,    180.567,    2280.596,   2277.782,
   20,       48.3,    180.679,    2300.770,   2299.265,
   21,       50.8,    180.641,    2318.959,   2317.916,
   22,       53.3,    180.679,    2332.871,   2334.048,
   23,       55.8,    180.772,    2347.158,   2347.954,
   24,       58.3,    180.772,    2357.669,   2359.929,
   25,       60.8,    180.753,    2367.870,   2370.211,
   26,       63.3,    180.772,    2376.477,   2379.006,
   27,       65.8,    180.697,    2385.758,   2386.523,
