Source DataFile                                                        ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,
-----------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Tpseudonana\NoDecay\20240311_NaOm2988_14C_4s_data.csv , 2024/03/11, 14:54:36,    1710179675835,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     0.2118,     0.9876,    603.47,    892.57,   2512.75,    0.6448,    0.2520,      1268,
C:\LIFT\DATA\LOW\Tpseudonana\NoDecay\20240311_NaOm2988_14C_4s_data.csv , 2024/03/11, 14:54:40,    1710179680328,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2244,     0.9893,    611.73,    867.24,   2470.68,    0.6490,    0.2700,      1410,
C:\LIFT\DATA\LOW\Tpseudonana\NoDecay\20240311_NaOm2988_14C_4s_data.csv , 2024/03/11, 14:54:45,    1710179684847,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     0.1445,     0.9916,    611.07,    861.23,   2443.99,    0.6476,    0.2810,      1771,
C:\LIFT\DATA\LOW\Tpseudonana\NoDecay\20240311_NaOm2988_14C_4s_data.csv , 2024/03/11, 14:54:49,    1710179689340,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2032,     0.9948,    620.18,    855.21,   2424.89,    0.6473,    0.2910,      2763,
C:\LIFT\DATA\LOW\Tpseudonana\NoDecay\20240311_NaOm2988_14C_4s_data.csv , 2024/03/11, 14:54:54,    1710179693852,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     0.2286,     0.9965,    618.75,    848.10,   2418.67,    0.6494,    0.2820,      4270,
C:\LIFT\DATA\LOW\Tpseudonana\NoDecay\20240311_NaOm2988_14C_4s_data.csv , 2024/03/11, 14:54:58,    1710179698372,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     0.1533,     0.9948,    619.87,    853.26,   2409.27,    0.6458,    0.3090,      2698,
C:\LIFT\DATA\LOW\Tpseudonana\NoDecay\20240311_NaOm2988_14C_4s_data.csv , 2024/03/11, 14:55:03,    1710179702870,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     0.1819,     0.9940,    615.20,    836.26,   2414.25,    0.6536,    0.2660,      2509,
C:\LIFT\DATA\LOW\Tpseudonana\NoDecay\20240311_NaOm2988_14C_4s_data.csv , 2024/03/11, 14:55:07,    1710179707376,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1940,     1.0000,    626.99,    831.87,   2422.47,    0.6566,    0.2670, 1.000e+07,
C:\LIFT\DATA\LOW\Tpseudonana\NoDecay\20240311_NaOm2988_14C_4s_data.csv , 2024/03/11, 14:55:12,    1710179711944,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2193,     0.9951,    624.25,    829.17,   2408.45,    0.6557,    0.2710,      3055,
