Source DataFile                                                      ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
---------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20240312_NaOm2987_10C_2S_data.csv , 2024/03/12, 16:07:47,    1710270467559,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,   109.1220,     0.9902,    166.53,    278.02,   1185.31,    0.7654,    0.1110,       500,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20240312_NaOm2987_10C_2S_data.csv , 2024/03/12, 16:07:50,    1710270470063,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,    51.6825,     0.9960,    177.41,    334.92,   1077.52,    0.6892,    0.2250,       500,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20240312_NaOm2987_10C_2S_data.csv , 2024/03/12, 16:07:52,    1710270472555,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,    38.5122,     0.9980,    184.37,    329.60,   1074.55,    0.6933,    0.2930,       500,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20240312_NaOm2987_10C_2S_data.csv , 2024/03/12, 16:07:55,    1710270475043,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,    79.8942,     0.9972,    181.31,    298.82,   1117.26,    0.7325,    0.2640,       500,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20240312_NaOm2987_10C_2S_data.csv , 2024/03/12, 16:07:57,    1710270477556,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,    73.9298,     0.9966,    179.76,    300.01,   1100.19,    0.7273,    0.2390,       500,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20240312_NaOm2987_10C_2S_data.csv , 2024/03/12, 16:08:00,    1710270480050,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,    54.9033,     0.9976,    183.11,    318.19,   1070.52,    0.7028,    0.2750,       500,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20240312_NaOm2987_10C_2S_data.csv , 2024/03/12, 16:08:02,    1710270482546,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,    55.0820,     0.9975,    182.64,    315.38,   1083.19,    0.7088,    0.2700,       500,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20240312_NaOm2987_10C_2S_data.csv , 2024/03/12, 16:08:05,    1710270485051,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,    65.0209,     0.9965,    179.50,    304.97,   1104.48,    0.7239,    0.2340,       500,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20240312_NaOm2987_10C_2S_data.csv , 2024/03/12, 16:08:07,    1710270487552,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,    46.0052,     0.9954,    176.55,    304.64,   1107.30,    0.7249,    0.2070,       500,    1.0000,
