----,
DateTime:        , 2024/03/12, 15:04:49, 1710266689494,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      69,      70,      70,
Lamps:,        #10000,
Gain:,              1,      10, 
SNR_raw:,    1049.81,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    288.023,
    1,        0.0,    340.873,     407.777,    357.793,
    2,        0.0,    359.642,     452.307,    427.293,
    3,        0.0,    359.978,     494.474,    492.858,
    4,        0.0,    360.053,     536.866,    554.662,
    5,        0.0,    360.016,     583.030,    612.901,
    6,        0.0,    359.978,     632.538,    667.780,
    7,        0.0,    360.389,     685.371,    719.555,
    8,        0.0,    360.613,     737.911,    768.372,
    9,        0.0,    360.687,     792.931,    814.379,
   10,        0.0,    360.948,     844.719,    857.758,
   11,        0.0,    360.874,     895.327,    898.619,
   12,        0.0,    361.023,     943.430,    937.130,
   13,        0.0,    361.247,     987.967,    973.433,
   14,        0.0,    361.098,    1029.361,   1007.617,
   15,        0.0,    361.434,    1066.309,   1039.847,
   16,        0.0,    361.060,    1101.478,   1070.174,
   17,        0.0,    361.172,    1132.147,   1098.749,
   18,        0.0,    361.284,    1161.135,   1125.671,
   19,        0.0,    361.471,    1184.881,   1151.040,
   20,        0.0,    361.359,    1209.877,   1174.923,
   21,        0.0,    361.247,    1229.630,   1197.407,
   22,        0.0,    361.508,    1248.105,   1218.595,
   23,        0.0,    361.657,    1264.733,   1238.553,
   24,        0.0,    361.657,    1281.323,   1257.344,
   25,        0.0,    361.807,    1295.443,   1275.042,
   26,        0.0,    361.769,    1308.845,   1291.699,
   27,        0.0,    361.919,    1320.463,   1307.385,
   28,        0.0,    361.657,    1332.753,   1322.139,
