Source DataFile                                                         ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
------------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Tpseudonana\NoDecay\20240312_NaOm2988_10C_16S_data.csv , 2024/03/12, 17:01:48,    1710273707938,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     1.9323,     0.9783,    332.71,    410.49,   1514.10,    0.7289,    0.2770,      4257,    1.0000,
C:\LIFT\DATA\LOW\Tpseudonana\NoDecay\20240312_NaOm2988_10C_16S_data.csv , 2024/03/12, 17:02:04,    1710273724479,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   102  ,     1.1912,     0.9777,    339.32,    445.14,   1420.58,    0.6866,    0.3310,      2295,    1.0000,
C:\LIFT\DATA\LOW\Tpseudonana\NoDecay\20240312_NaOm2988_10C_16S_data.csv , 2024/03/12, 17:02:21,    1710273741020,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.8618,     0.9784,    346.52,    455.24,   1360.76,    0.6655,    0.3730,      1699,    1.0000,
C:\LIFT\DATA\LOW\Tpseudonana\NoDecay\20240312_NaOm2988_10C_16S_data.csv , 2024/03/12, 17:02:37,    1710273757586,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.7730,     0.9775,    348.75,    455.39,   1352.52,    0.6633,    0.3960,      1405,    1.0000,
C:\LIFT\DATA\LOW\Tpseudonana\NoDecay\20240312_NaOm2988_10C_16S_data.csv , 2024/03/12, 17:02:54,    1710273774123,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.7931,     0.9775,    351.91,    453.46,   1346.76,    0.6633,    0.4000,      1341,    1.0000,
C:\LIFT\DATA\LOW\Tpseudonana\NoDecay\20240312_NaOm2988_10C_16S_data.csv , 2024/03/12, 17:03:10,    1710273790661,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.7250,     0.9771,    350.77,    448.81,   1345.53,    0.6664,    0.3870,      1398,    1.0000,
C:\LIFT\DATA\LOW\Tpseudonana\NoDecay\20240312_NaOm2988_10C_16S_data.csv , 2024/03/12, 17:03:27,    1710273807235,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.8733,     0.9807,    353.36,    450.15,   1340.50,    0.6642,    0.3880,      1746,    1.0000,
C:\LIFT\DATA\LOW\Tpseudonana\NoDecay\20240312_NaOm2988_10C_16S_data.csv , 2024/03/12, 17:03:43,    1710273823748,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.7435,     0.9807,    353.73,    450.92,   1336.44,    0.6626,    0.4000,      1640,    1.0000,
C:\LIFT\DATA\LOW\Tpseudonana\NoDecay\20240312_NaOm2988_10C_16S_data.csv , 2024/03/12, 17:04:00,    1710273840221,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.9715,     0.9786,    352.83,    444.24,   1331.45,    0.6663,    0.3830,      1540,    1.0000,
C:\LIFT\DATA\LOW\Tpseudonana\NoDecay\20240312_NaOm2988_10C_16S_data.csv , 2024/03/12, 17:04:16,    1710273856722,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.6804,     0.9807,    355.12,    452.61,   1333.80,    0.6607,    0.4110,      1542,    1.0000,
C:\LIFT\DATA\LOW\Tpseudonana\NoDecay\20240312_NaOm2988_10C_16S_data.csv , 2024/03/12, 17:04:33,    1710273873234,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   102  ,     0.8682,     0.9760,    350.44,    444.35,   1333.50,    0.6668,    0.3900,      1292,    1.0000,
C:\LIFT\DATA\LOW\Tpseudonana\NoDecay\20240312_NaOm2988_10C_16S_data.csv , 2024/03/12, 17:04:49,    1710273889730,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.8136,     0.9789,    353.98,    448.32,   1332.24,    0.6635,    0.4050,      1410,    1.0000,
C:\LIFT\DATA\LOW\Tpseudonana\NoDecay\20240312_NaOm2988_10C_16S_data.csv , 2024/03/12, 17:05:06,    1710273906240,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.7715,     0.9799,    353.89,    449.60,   1335.93,    0.6635,    0.3980,      1562,    1.0000,
C:\LIFT\DATA\LOW\Tpseudonana\NoDecay\20240312_NaOm2988_10C_16S_data.csv , 2024/03/12, 17:05:22,    1710273922727,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   102  ,     0.9300,     0.9791,    353.26,    446.00,   1333.89,    0.6656,    0.3920,      1528,    1.0000,
