----,
DateTime:        , 2024/03/13, 13:19:11, 1710346751138,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      55,
Lamps:,        #10000,
Gain:,              1,      10, 
SNR_raw:,     163.78,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    275.591,
    1,        0.8,    162.332,     328.956,    309.923,
    2,        3.3,    180.313,     368.389,    348.821,
    3,        5.8,    180.241,     403.904,    388.000,
    4,        8.3,    180.529,     431.510,    427.033,
    5,       10.8,    180.385,     461.236,    465.480,
    6,       13.3,    180.673,     492.049,    503.158,
    7,       15.8,    180.349,     523.985,    539.779,
    8,       18.3,    180.529,     560.021,    575.293,
    9,       20.8,    180.565,     592.584,    609.588,
   10,       23.3,    180.493,     625.509,    642.588,
   11,       25.8,    180.889,     658.967,    674.318,
   12,       28.3,    180.745,     693.794,    704.687,
   13,       30.8,    180.853,     724.344,    733.721,
   14,       33.3,    180.637,     756.212,    761.387,
   15,       35.8,    181.069,     784.782,    787.772,
   16,       38.3,    180.853,     813.367,    812.828,
   17,       40.8,    180.997,     837.029,    836.619,
   18,       43.3,    180.997,     865.206,    859.164,
   19,       45.8,    181.178,     883.663,    880.513,
   20,       48.3,    181.106,     907.206,    900.685,
   21,       50.8,    181.106,     928.188,    919.726,
   22,       53.3,    181.142,     944.013,    937.681,
   23,       55.8,    181.178,     963.143,    954.594,
   24,       58.3,    180.997,     977.915,    970.499,
   25,       60.8,    181.286,     990.702,    985.461,
   26,       63.3,    181.069,    1006.796,    999.505,
   27,       65.8,    181.178,    1017.234,   1012.686,
   28,       68.3,    181.142,    1027.373,   1025.044,
   29,       70.8,    181.466,    1039.314,   1036.630,
