Source DataFile                                                       ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
----------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_10C_16S_data.csv , 2023/09/13, 11:06:02,    1694613962774,--Not Acquired--     ,--Not Acquired--     , -1162.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     1.5239,     0.9868,    179.96,    375.73,   1630.25,    0.7695,    0.0780,      2216,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_10C_16S_data.csv , 2023/09/13, 11:06:19,    1694613979279,--Not Acquired--     ,--Not Acquired--     , -1135.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2976,     0.9914,    188.32,    427.33,   1418.28,    0.6987,    0.1780,      2576,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_10C_16S_data.csv , 2023/09/13, 11:06:35,    1694613995771,--Not Acquired--     ,--Not Acquired--     , -1123.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0910,     0.9913,    196.33,    439.60,   1356.66,    0.6760,    0.2870,      1840,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_10C_16S_data.csv , 2023/09/13, 11:06:52,    1694614012289,--Not Acquired--     ,--Not Acquired--     , -1141.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1601,     0.9912,    200.81,    425.70,   1363.35,    0.6878,    0.3050,      1697,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_10C_16S_data.csv , 2023/09/13, 11:07:08,    1694614028794,--Not Acquired--     ,--Not Acquired--     , -1134.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1945,     0.9915,    202.07,    419.14,   1354.52,    0.6906,    0.3100,      1741,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_10C_16S_data.csv , 2023/09/13, 11:07:25,    1694614045303,--Not Acquired--     ,--Not Acquired--     , -1129.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1331,     0.9917,    203.71,    421.07,   1332.99,    0.6841,    0.3320,      1686,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_10C_16S_data.csv , 2023/09/13, 11:07:42,    1694614061814,--Not Acquired--     ,--Not Acquired--     , -1124.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1016,     0.9916,    205.05,    420.72,   1322.55,    0.6819,    0.3450,      1620,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_10C_16S_data.csv , 2023/09/13, 11:07:58,    1694614078342,--Not Acquired--     ,--Not Acquired--     , -1133.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1144,     0.9917,    205.30,    419.58,   1319.90,    0.6821,    0.3460,      1625,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_10C_16S_data.csv , 2023/09/13, 11:08:15,    1694614094863,--Not Acquired--     ,--Not Acquired--     , -1139.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0981,     0.9916,    205.64,    420.01,   1318.18,    0.6814,    0.3510,      1596,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_10C_16S_data.csv , 2023/09/13, 11:08:31,    1694614111378,--Not Acquired--     ,--Not Acquired--     , -1123.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0866,     0.9916,    206.30,    420.48,   1316.92,    0.6807,    0.3560,      1570,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_10C_16S_data.csv , 2023/09/13, 11:08:48,    1694614127889,--Not Acquired--     ,--Not Acquired--     , -1122.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0902,     0.9916,    206.47,    421.32,   1319.18,    0.6806,    0.3580,      1562,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_10C_16S_data.csv , 2023/09/13, 11:09:04,    1694614144403,--Not Acquired--     ,--Not Acquired--     , -1137.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0858,     0.9916,    206.67,    421.94,   1324.31,    0.6814,    0.3560,      1564,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_10C_16S_data.csv , 2023/09/13, 11:09:21,    1694614160937,--Not Acquired--     ,--Not Acquired--     , -1124.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0851,     0.9916,    207.05,    422.54,   1326.02,    0.6813,    0.3580,      1556,    1.0000,
