----,
DateTime:        , 2023/09/13, 09:37:45, 1694608665688,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,        -1150.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      56,
Lamps:,        #10000,
Gain:,              2,      10, 
SNR_raw:,     154.95,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    366.129,
    1,        0.8,    512.755,     512.720,    444.504,
    2,        3.3,    539.683,     576.577,    534.565,
    3,        5.8,    540.097,     637.200,    625.863,
    4,        8.3,    540.360,     708.509,    714.196,
    5,       10.8,    540.774,     785.818,    797.468,
    6,       13.3,    540.962,     866.697,    874.747,
    7,       15.8,    541.037,     946.331,    945.776,
    8,       18.3,    541.451,    1021.884,   1010.674,
    9,       20.8,    541.827,    1089.831,   1069.746,
   10,       23.3,    541.639,    1151.136,   1123.382,
   11,       25.8,    541.714,    1204.787,   1171.994,
   12,       28.3,    542.165,    1250.633,   1216.002,
   13,       30.8,    542.053,    1290.189,   1255.832,
   14,       33.3,    542.316,    1324.044,   1291.848,
   15,       35.8,    542.165,    1354.199,   1324.423,
   16,       38.3,    542.504,    1379.345,   1353.853,
   17,       40.8,    542.579,    1401.178,   1380.456,
   18,       43.3,    542.729,    1420.229,   1404.495,
   19,       45.8,    542.880,    1437.334,   1426.217,
   20,       48.3,    542.692,    1452.758,   1445.863,
   21,       50.8,    542.880,    1465.702,   1463.602,
   22,       53.3,    542.805,    1478.432,   1479.639,
   23,       55.8,    542.918,    1488.992,   1494.120,
   24,       58.3,    542.805,    1499.619,   1507.215,
   25,       60.8,    542.805,    1508.369,   1519.044,
   26,       63.3,    542.842,    1516.923,   1529.728,
   27,       65.8,    542.918,    1525.186,   1539.375,
   28,       68.3,    542.880,    1532.751,   1548.096,
