----,
DateTime:        , 2024/03/14, 16:43:14, 1710445393838,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      89,      90,      90,
Lamps:,        #10000,
Gain:,              2,      10, 
SNR_raw:,    1176.82,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    572.752,
    1,        0.8,    162.612,     576.524,    584.866,
    2,        3.3,    180.057,     604.764,    600.481,
    3,        5.8,    180.166,     630.253,    618.192,
    4,        8.3,    179.912,     650.038,    637.635,
    5,       10.8,    180.311,     668.291,    658.569,
    6,       13.3,    180.311,     686.593,    680.721,
    7,       15.8,    180.311,     708.500,    703.875,
    8,       18.3,    180.238,     729.313,    727.840,
    9,       20.8,    180.383,     750.903,    752.469,
   10,       23.3,    180.238,     775.363,    777.602,
   11,       25.8,    180.383,     796.084,    803.136,
   12,       28.3,    180.600,     820.044,    828.968,
   13,       30.8,    180.564,     844.299,    854.990,
   14,       33.3,    180.492,     871.232,    881.115,
   15,       35.8,    180.455,     897.175,    907.270,
   16,       38.3,    180.455,     922.112,    933.392,
   17,       40.8,    180.347,     949.837,    959.416,
   18,       43.3,    180.709,     975.880,    985.318,
   19,       45.8,    180.672,    1002.366,   1011.030,
   20,       48.3,    180.455,    1031.003,   1036.501,
   21,       50.8,    180.672,    1055.778,   1061.715,
   22,       53.3,    180.636,    1082.839,   1086.628,
   23,       55.8,    180.745,    1108.745,   1111.216,
   24,       58.3,    180.709,    1133.593,   1135.447,
   25,       60.8,    180.781,    1161.073,   1159.300,
   26,       63.3,    180.926,    1184.463,   1182.758,
   27,       65.8,    180.745,    1209.716,   1205.791,
   28,       68.3,    180.636,    1233.418,   1228.382,
