----,
DateTime:        , 2024/03/15, 13:55:02, 1710521702771,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      55,
Lamps:,        #10000,
Gain:,              2,      10, 
SNR_raw:,     145.87,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    506.210,
    1,        0.8,    282.593,     568.309,    538.070,
    2,        3.3,    300.182,     607.572,    578.164,
    3,        5.8,    300.220,     644.528,    622.521,
    4,        8.3,    300.145,     679.672,    669.306,
    5,       10.8,    300.332,     716.208,    717.276,
    6,       13.3,    300.631,     753.581,    765.561,
    7,       15.8,    300.631,     793.996,    813.525,
    8,       18.3,    300.519,     838.217,    860.727,
    9,       20.8,    300.781,     881.040,    906.895,
   10,       23.3,    300.781,     926.588,    951.808,
   11,       25.8,    301.080,     971.336,    995.341,
   12,       28.3,    301.342,    1015.125,   1037.402,
   13,       30.8,    301.155,    1058.757,   1077.910,
   14,       33.3,    301.080,    1103.526,   1116.832,
   15,       35.8,    301.380,    1143.408,   1154.166,
   16,       38.3,    301.642,    1183.358,   1189.915,
   17,       40.8,    301.342,    1223.028,   1224.076,
   18,       43.3,    301.342,    1259.034,   1256.671,
   19,       45.8,    301.679,    1291.439,   1287.733,
   20,       48.3,    301.604,    1324.418,   1317.295,
   21,       50.8,    301.529,    1353.600,   1345.394,
   22,       53.3,    301.567,    1382.447,   1372.067,
   23,       55.8,    301.492,    1409.325,   1397.362,
   24,       58.3,    301.679,    1431.322,   1421.321,
   25,       60.8,    301.754,    1453.999,   1443.996,
   26,       63.3,    301.529,    1475.478,   1465.441,
   27,       65.8,    301.604,    1496.498,   1485.696,
   28,       68.3,    301.679,    1513.363,   1504.812,
