Source DataFile                                                           ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
--------------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_10C_1S_Ref_data.csv , 2023/09/13, 11:31:13,    1694615473490,--Not Acquired--     ,--Not Acquired--     , -1159.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     1.3923,     0.9885,    187.99,    370.82,   1672.82,    0.7783,    0.0290,      2694,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_10C_1S_Ref_data.csv , 2023/09/13, 11:31:15,    1694615475005,--Not Acquired--     ,--Not Acquired--     , -1128.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1523,     0.9913,    191.89,    464.34,   1434.90,    0.6764,    0.1510,      2596,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_10C_1S_Ref_data.csv , 2023/09/13, 11:31:16,    1694615476533,--Not Acquired--     ,--Not Acquired--     , -1101.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0348,     0.9892,    195.79,    476.26,   1397.61,    0.6592,    0.2690,      1526,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_10C_1S_Ref_data.csv , 2023/09/13, 11:31:18,    1694615478041,--Not Acquired--     ,--Not Acquired--     , -1133.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2334,     0.9894,    199.40,    433.85,   1446.51,    0.7001,    0.2350,      1611,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_10C_1S_Ref_data.csv , 2023/09/13, 11:31:19,    1694615479553,--Not Acquired--     ,--Not Acquired--     , -1116.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2562,     0.9901,    199.78,    426.44,   1420.87,    0.6999,    0.2360,      1726,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_10C_1S_Ref_data.csv , 2023/09/13, 11:31:21,    1694615481070,--Not Acquired--     ,--Not Acquired--     , -1107.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0827,     0.9904,    202.28,    441.69,   1362.35,    0.6758,    0.2910,      1590,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_10C_1S_Ref_data.csv , 2023/09/13, 11:31:22,    1694615482584,--Not Acquired--     ,--Not Acquired--     , -1110.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0835,     0.9902,    204.20,    438.31,   1359.79,    0.6777,    0.3100,      1474,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_10C_1S_Ref_data.csv , 2023/09/13, 11:31:24,    1694615484084,--Not Acquired--     ,--Not Acquired--     , -1117.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1285,     0.9903,    204.13,    430.50,   1365.95,    0.6848,    0.3020,      1507,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_10C_1S_Ref_data.csv , 2023/09/13, 11:31:25,    1694615485621,--Not Acquired--     ,--Not Acquired--     , -1127.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1010,     0.9903,    204.43,    431.62,   1351.17,    0.6806,    0.3120,      1481,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_10C_1S_Ref_data.csv , 2023/09/13, 11:31:27,    1694615487147,--Not Acquired--     ,--Not Acquired--     , -1117.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0778,     0.9904,    205.31,    434.27,   1343.85,    0.6768,    0.3230,      1463,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_10C_1S_Ref_data.csv , 2023/09/13, 11:31:28,    1694615488652,--Not Acquired--     ,--Not Acquired--     , -1114.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0974,     0.9905,    205.49,    432.64,   1349.19,    0.6793,    0.3160,      1489,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_10C_1S_Ref_data.csv , 2023/09/13, 11:31:30,    1694615490152,--Not Acquired--     ,--Not Acquired--     , -1119.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1068,     0.9905,    204.90,    431.54,   1349.53,    0.6802,    0.3120,      1514,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_10C_1S_Ref_data.csv , 2023/09/13, 11:31:31,    1694615491667,--Not Acquired--     ,--Not Acquired--     , -1116.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0889,     0.9903,    205.06,    432.09,   1349.74,    0.6799,    0.3130,      1482,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_10C_1S_Ref_data.csv , 2023/09/13, 11:31:33,    1694615493188,--Not Acquired--     ,--Not Acquired--     , -1116.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0939,     0.9905,    205.07,    432.61,   1351.68,    0.6799,    0.3110,      1512,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_10C_1S_Ref_data.csv , 2023/09/13, 11:31:34,    1694615494705,--Not Acquired--     ,--Not Acquired--     , -1116.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1032,     0.9905,    204.82,    432.90,   1354.38,    0.6804,    0.3070,      1532,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_10C_1S_Ref_data.csv , 2023/09/13, 11:31:36,    1694615496223,--Not Acquired--     ,--Not Acquired--     , -1132.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1002,     0.9905,    204.69,    433.78,   1355.80,    0.6801,    0.3060,      1525,    1.0000,
