Source DataFile                                             ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,     Chisq,        Fo,        Fm,     Fv/Fm,       Sig,         p,    Alp1QA,    Tau1QA,    Alp2QA,    Tau2QA,    Alp3QA,    Tau3QA,   Light_1
------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------
C:\LIFT\DATA\LOW\LOW_20230214_NaOm1273_20C_05S_445_data.csv , 2023/02/14, 11:07:11,1.67639E+12,--Not Acquired--     ,--Not Acquired--     ,-1220.79,0,0,  NO DATA,    '10000,0,0,0,0,0,0,111,23.8142,0.9258,991.14,2444.62,0.5946,271.96,0.483,0.6481,503,0.2516,7389,0.1003,192959,0,
C:\LIFT\DATA\LOW\LOW_20230214_NaOm1273_20C_05S_445_data.csv , 2023/02/14, 11:07:13,1.67639E+12,--Not Acquired--     ,--Not Acquired--     ,-1215.2,0,0,  NO DATA,    '10000,0,0,0,0,0,0,111,3.9834,0.9006,1098.71,2260.46,0.5139,292.42,0.41,0.6914,395,0.1945,2077,0.1141,22687,0,
C:\LIFT\DATA\LOW\LOW_20230214_NaOm1273_20C_05S_445_data.csv , 2023/02/14, 11:07:14,1.67639E+12,--Not Acquired--     ,--Not Acquired--     ,-1216.42,0,0,  NO DATA,    '10000,0,0,0,0,0,0,111,4.1628,0.9001,1093.13,2231.03,0.51,293.86,0.42,0.7096,390,0.1863,2071,0.1041,24953,0,
C:\LIFT\DATA\LOW\LOW_20230214_NaOm1273_20C_05S_445_data.csv , 2023/02/14, 11:07:15,1.67639E+12,--Not Acquired--     ,--Not Acquired--     ,-1214.69,0,0,  NO DATA,    '10000,0,0,0,0,0,0,111,4.1158,0.8979,1088.38,2199.54,0.5052,294.94,0.415,0.7155,385,0.1877,2002,0.0968,26984,0,
C:\LIFT\DATA\LOW\LOW_20230214_NaOm1273_20C_05S_445_data.csv , 2023/02/14, 11:07:17,1.67639E+12,--Not Acquired--     ,--Not Acquired--     ,-1214.65,0,0,  NO DATA,    '10000,0,0,0,0,0,0,111,2.8669,0.9024,1089.63,2176.75,0.4994,299.12,0.429,0.7111,384,0.1924,1905,0.0965,26137,0,
C:\LIFT\DATA\LOW\LOW_20230214_NaOm1273_20C_05S_445_data.csv , 2023/02/14, 11:07:18,1.67639E+12,--Not Acquired--     ,--Not Acquired--     ,-1214.84,0,0,  NO DATA,    '10000,0,0,0,0,0,0,121,4.135,0.9,1085.33,2170.07,0.4999,299.45,0.423,0.7137,377,0.1933,1899,0.093,27217,0,
C:\LIFT\DATA\LOW\LOW_20230214_NaOm1273_20C_05S_445_data.csv , 2023/02/14, 11:07:19,1.67639E+12,--Not Acquired--     ,--Not Acquired--     ,-1217.99,0,0,  NO DATA,    '10000,0,0,0,0,0,0,111,5.31,0.9044,1083.78,2152.5,0.4965,302.2,0.429,0.7257,392,0.1849,2106,0.0894,30166,0,
C:\LIFT\DATA\LOW\LOW_20230214_NaOm1273_20C_05S_445_data.csv , 2023/02/14, 11:07:21,1.67639E+12,--Not Acquired--     ,--Not Acquired--     ,-1215,0,0,  NO DATA,    '10000,0,0,0,0,0,0,111,2.6446,0.8969,1083.88,2164.96,0.4994,299.27,0.415,0.7059,367,0.2034,1808,0.0907,28282,0,
C:\LIFT\DATA\LOW\LOW_20230214_NaOm1273_20C_05S_445_data.csv , 2023/02/14, 11:07:22,1.67639E+12,--Not Acquired--     ,--Not Acquired--     ,-1218.98,0,0,  NO DATA,    '10000,0,0,0,0,0,0,121,4.304,0.9022,1085.36,2153.62,0.496,302.22,0.428,0.7047,374,0.2014,1785,0.0939,27205,0,
C:\LIFT\DATA\LOW\LOW_20230214_NaOm1273_20C_05S_445_data.csv , 2023/02/14, 11:07:23,1.67639E+12,--Not Acquired--     ,--Not Acquired--     ,-1217.91,0,0,  NO DATA,    '10000,0,0,0,0,0,0,111,4.9536,0.899,1085.77,2156.15,0.4964,299.01,0.424,0.698,367,0.2111,1781,0.0909,27622,0,
C:\LIFT\DATA\LOW\LOW_20230214_NaOm1273_20C_05S_445_data.csv , 2023/02/14, 11:07:25,1.67639E+12,--Not Acquired--     ,--Not Acquired--     ,-1217.24,0,0,  NO DATA,    '10000,0,0,0,0,0,0,111,4.5766,0.901,1083.9,2149.63,0.4958,301.6,0.425,0.704,372,0.2042,1834,0.0918,28007,0,
C:\LIFT\DATA\LOW\LOW_20230214_NaOm1273_20C_05S_445_data.csv , 2023/02/14, 11:07:26,1.67639E+12,--Not Acquired--     ,--Not Acquired--     ,-1213.66,0,0,  NO DATA,    '10000,0,0,0,0,0,0,111,3.9488,0.899,1086.7,2156.61,0.4961,300.83,0.421,0.696,364,0.2126,1746,0.0914,27485,0,
C:\LIFT\DATA\LOW\LOW_20230214_NaOm1273_20C_05S_445_data.csv , 2023/02/14, 11:07:27,1.67639E+12,--Not Acquired--     ,--Not Acquired--     ,-1218.35,0,0,  NO DATA,    '10000,0,0,0,0,0,0,111,5.3203,0.9022,1087.32,2148.58,0.4939,301.8,0.426,0.7073,378,0.2005,1857,0.0922,27261,0,
C:\LIFT\DATA\LOW\LOW_20230214_NaOm1273_20C_05S_445_data.csv , 2023/02/14, 11:07:29,1.67639E+12,--Not Acquired--     ,--Not Acquired--     ,-1214.72,0,0,  NO DATA,    '10000,0,0,0,0,0,0,111,5.0545,0.8992,1088.81,2156.64,0.4951,300.99,0.422,0.6951,363,0.2134,1753,0.0915,26839,0,
C:\LIFT\DATA\LOW\LOW_20230214_NaOm1273_20C_05S_445_data.csv , 2023/02/14, 11:07:30,1.67639E+12,--Not Acquired--     ,--Not Acquired--     ,-1220.59,0,0,  NO DATA,    '10000,0,0,0,0,0,0,111,5.9735,0.9031,1087.98,2148.04,0.4935,303.12,0.429,0.6958,372,0.2125,1802,0.0917,27516,0,
