Source DataFile                                                        ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,
-----------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_4S_445_nod_data.csv , 2023/03/09, 12:19:11,    1678378751486,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    49.0398,     0.9589,    275.99,   1028.74,   3083.36,    0.6664,    0.3210,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_4S_445_nod_data.csv , 2023/03/09, 12:19:16,    1678378755928,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    15.7388,     0.9625,    276.65,   1121.51,   2767.99,    0.5948,    0.3600,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_4S_445_nod_data.csv , 2023/03/09, 12:19:20,    1678378760357,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     6.6647,     0.9691,    290.99,   1122.26,   2663.39,    0.5786,    0.4050,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_4S_445_nod_data.csv , 2023/03/09, 12:19:24,    1678378764781,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    20.7686,     0.9683,    291.40,   1086.37,   2795.74,    0.6114,    0.3930,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_4S_445_nod_data.csv , 2023/03/09, 12:19:29,    1678378769208,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    28.7279,     0.9665,    287.75,   1075.59,   2819.33,    0.6185,    0.3780,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_4S_445_nod_data.csv , 2023/03/09, 12:19:33,    1678378773643,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    37.6155,     0.9674,    288.16,   1088.39,   2749.75,    0.6042,    0.3880,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_4S_445_nod_data.csv , 2023/03/09, 12:19:38,    1678378778068,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    13.7848,     0.9683,    290.45,   1091.09,   2724.41,    0.5995,    0.3940,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_4S_445_nod_data.csv , 2023/03/09, 12:19:42,    1678378782504,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    11.3958,     0.9671,    288.76,   1080.86,   2745.05,    0.6063,    0.3830,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_4S_445_nod_data.csv , 2023/03/09, 12:19:47,    1678378786942,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    20.2997,     0.9679,    289.86,   1083.13,   2759.18,    0.6074,    0.3910,
