Source DataFile                                             ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,
------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_10C_05S_data.csv , 2023/03/14, 11:32:50,    1678804369984,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    28.9382,     0.9828,    278.34,    785.51,   2144.50,    0.6337,    0.3280,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_10C_05S_data.csv , 2023/03/14, 11:32:51,    1678804370988,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     5.6283,     0.9712,    274.53,    879.66,   1992.46,    0.5585,    0.3720,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_10C_05S_data.csv , 2023/03/14, 11:32:52,    1678804371989,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     3.6794,     0.9670,    288.44,    860.43,   1945.46,    0.5577,    0.4290,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_10C_05S_data.csv , 2023/03/14, 11:32:53,    1678804372990,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    11.5804,     0.9739,    283.73,    826.12,   2053.52,    0.5977,    0.3950,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_10C_05S_data.csv , 2023/03/14, 11:32:54,    1678804373995,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    12.5910,     0.9768,    282.65,    827.99,   2044.09,    0.5949,    0.3750,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_10C_05S_data.csv , 2023/03/14, 11:32:55,    1678804374997,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    11.9662,     0.9726,    282.70,    848.39,   1986.71,    0.5730,    0.3940,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_10C_05S_data.csv , 2023/03/14, 11:32:56,    1678804376002,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     5.4917,     0.9698,    285.40,    841.67,   1984.55,    0.5759,    0.3980,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_10C_05S_data.csv , 2023/03/14, 11:32:57,    1678804377003,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    20.1995,     0.9765,    286.44,    835.55,   2018.17,    0.5860,    0.3900,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_10C_05S_data.csv , 2023/03/14, 11:32:58,    1678804378008,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    21.3953,     0.9760,    285.35,    836.40,   2009.59,    0.5838,    0.3860,
