----,
DateTime:        , 2023/03/14, 10:54:45, 1678802085363,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      69,      70,      70,
Lamps:,        #10000,
Gain:,              2,      25, 
SNR_raw:,    1130.83,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    858.564,
    1,        0.8,    163.161,     885.324,    889.058,
    2,        3.3,    180.282,     935.199,    926.205,
    3,        5.8,    180.296,     980.333,    966.295,
    4,        8.3,    180.364,    1016.277,   1008.538,
    5,       10.8,    180.597,    1054.560,   1052.315,
    6,       13.3,    180.515,    1095.756,   1097.047,
    7,       15.8,    180.528,    1136.664,   1142.315,
    8,       18.3,    180.638,    1178.879,   1187.779,
    9,       20.8,    180.610,    1221.414,   1233.128,
   10,       23.3,    180.583,    1267.284,   1278.117,
   11,       25.8,    180.610,    1312.494,   1322.555,
   12,       28.3,    180.720,    1357.350,   1366.286,
   13,       30.8,    180.651,    1401.871,   1409.150,
   14,       33.3,    180.843,    1445.454,   1451.066,
   15,       35.8,    180.939,    1488.903,   1491.930,
   16,       38.3,    180.802,    1530.405,   1531.639,
   17,       40.8,    180.829,    1572.478,   1570.150,
   18,       43.3,    180.761,    1611.522,   1607.407,
   19,       45.8,    180.898,    1648.170,   1643.394,
   20,       48.3,    180.802,    1684.441,   1678.068,
   21,       50.8,    180.843,    1718.896,   1711.425,
   22,       53.3,    180.843,    1752.074,   1743.456,
   23,       55.8,    180.870,    1784.152,   1774.165,
   24,       58.3,    180.843,    1812.347,   1803.556,
   25,       60.8,    180.829,    1839.858,   1831.643,
   26,       63.3,    180.925,    1866.797,   1858.452,
   27,       65.8,    180.952,    1891.659,   1884.002,
