----,
DateTime:        , 2024/03/11, 14:14:57, 1710177297385,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      69,      70,      70,
Lamps:,        #10000,
Gain:,              2,      25, 
SNR_raw:,     595.68,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    186.113,
    1,        0.8,    562.282,     252.365,    242.589,
    2,        3.3,    564.833,     292.218,    291.009,
    3,        5.8,    564.788,     331.895,    332.241,
    4,        8.3,    564.856,     369.386,    367.297,
    5,       10.8,    565.015,     401.406,    397.051,
    6,       13.3,    565.173,     427.568,    422.261,
    7,       15.8,    565.253,     449.003,    443.584,
    8,       18.3,    565.343,     465.911,    461.586,
    9,       20.8,    565.321,     480.347,    476.759,
   10,       23.3,    565.275,     491.884,    489.523,
   11,       25.8,    565.207,     501.232,    500.241,
   12,       28.3,    565.151,     509.068,    509.220,
   13,       30.8,    565.151,     516.411,    516.725,
   14,       33.3,    565.162,     522.417,    522.980,
   15,       35.8,    565.253,     527.286,    528.176,
   16,       38.3,    565.287,     531.235,    532.476,
   17,       40.8,    565.275,     535.226,    536.019,
   18,       43.3,    565.230,     538.011,    538.923,
   19,       45.8,    565.230,     540.134,    541.287,
   20,       48.3,    565.207,     542.102,    543.195,
   21,       50.8,    565.185,     543.539,    544.719,
   22,       53.3,    565.151,     544.191,    545.920,
   23,       55.8,    565.151,     545.961,    546.847,
   24,       58.3,    565.128,     546.867,    547.544,
   25,       60.8,    565.128,     547.575,    548.048,
   26,       63.3,    565.128,     548.106,    548.389,
   27,       65.8,    565.128,     548.460,    548.592,
   28,       68.3,    565.128,     548.637,    548.681,
   29,       70.8,    565.071,     548.869,    548.674,
