----,
DateTime:        , 2024/03/11, 17:03:47, 1710187426819,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      69,      70,      70,
Lamps:,        #10000,
Gain:,              1,      10, 
SNR_raw:,     312.95,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,   1028.601,
    1,        0.8,    178.691,    1073.921,   1075.157,
    2,        3.3,    179.673,    1152.602,   1147.576,
    3,        5.8,    179.802,    1230.797,   1233.426,
    4,        8.3,    179.987,    1323.426,   1324.783,
    5,       10.8,    179.950,    1413.723,   1416.470,
    6,       13.3,    180.006,    1506.061,   1505.163,
    7,       15.8,    180.117,    1588.967,   1588.755,
    8,       18.3,    180.080,    1665.926,   1665.956,
    9,       20.8,    180.154,    1737.956,   1736.097,
   10,       23.3,    180.247,    1799.201,   1798.952,
   11,       25.8,    180.302,    1855.772,   1854.608,
   12,       28.3,    180.284,    1905.330,   1903.375,
   13,       30.8,    180.469,    1945.487,   1945.698,
   14,       33.3,    180.358,    1981.616,   1982.148,
   15,       35.8,    180.339,    2012.318,   2013.290,
   16,       38.3,    180.469,    2039.132,   2039.700,
   17,       40.8,    180.543,    2061.004,   2061.971,
   18,       43.3,    180.599,    2080.858,   2080.644,
   19,       45.8,    180.636,    2095.932,   2096.213,
   20,       48.3,    180.562,    2106.761,   2109.134,
   21,       50.8,    180.673,    2119.855,   2119.760,
   22,       53.3,    180.673,    2128.158,   2128.466,
   23,       55.8,    180.710,    2135.469,   2135.538,
   24,       58.3,    180.691,    2141.775,   2141.247,
   25,       60.8,    180.673,    2145.869,   2145.806,
   26,       63.3,    180.821,    2151.300,   2149.367,
   27,       65.8,    180.728,    2152.956,   2152.154,
