----,
DateTime:        , 2024/03/14, 14:22:49, 1710436969541,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      55,
Lamps:,        #10000,
Gain:,              2,      10, 
SNR_raw:,     153.82,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    480.237,
    1,        0.8,    162.236,     558.136,    519.764,
    2,        3.3,    180.287,     596.684,    564.442,
    3,        5.8,    180.323,     631.366,    609.414,
    4,        8.3,    180.614,     661.079,    654.242,
    5,       10.8,    180.178,     694.036,    698.407,
    6,       13.3,    180.650,     727.373,    741.843,
    7,       15.8,    180.432,     763.445,    784.217,
    8,       18.3,    180.577,     801.041,    825.464,
    9,       20.8,    180.614,     839.360,    865.464,
   10,       23.3,    180.469,     878.824,    904.117,
   11,       25.8,    180.723,     917.427,    941.445,
   12,       28.3,    180.759,     955.416,    977.381,
   13,       30.8,    180.650,     993.357,   1011.887,
   14,       33.3,    180.759,    1031.484,   1044.992,
   15,       35.8,    180.723,    1068.488,   1076.679,
   16,       38.3,    181.086,    1101.135,   1107.015,
   17,       40.8,    180.941,    1133.521,   1135.951,
   18,       43.3,    180.977,    1163.408,   1163.535,
   19,       45.8,    180.832,    1193.928,   1189.774,
   20,       48.3,    180.795,    1220.717,   1214.714,
   21,       50.8,    181.050,    1245.239,   1238.418,
   22,       53.3,    180.977,    1269.775,   1260.895,
   23,       55.8,    181.086,    1290.548,   1282.199,
   24,       58.3,    181.086,    1312.084,   1302.363,
   25,       60.8,    181.013,    1331.946,   1321.423,
   26,       63.3,    180.977,    1349.067,   1339.426,
   27,       65.8,    181.050,    1365.372,   1356.422,
   28,       68.3,    181.122,    1381.111,   1372.454,
