----,
DateTime:        , 2023/09/12, 15:52:31, 1694544751509,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,-Not Acquired--,
PIF:,        -1213.50,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      65,
Lamps:,        #10000,
Gain:,              2,      25, 
SNR_raw:,     214.14,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    252.809,
    1,        0.8,    339.167,     263.379,    262.852,
    2,        3.3,    360.204,     281.074,    277.980,
    3,        5.8,    360.681,     297.713,    296.017,
    4,        8.3,    360.651,     314.929,    315.631,
    5,       10.8,    360.770,     334.366,    335.950,
    6,       13.3,    361.143,     353.127,    356.398,
    7,       15.8,    361.083,     373.402,    376.575,
    8,       18.3,    361.456,     393.767,    396.223,
    9,       20.8,    361.203,     413.423,    415.156,
   10,       23.3,    361.650,     432.267,    433.258,
   11,       25.8,    361.710,     450.166,    450.451,
   12,       28.3,    361.844,     468.101,    466.690,
   13,       30.8,    361.948,     483.714,    481.951,
   14,       33.3,    361.918,     498.398,    496.229,
   15,       35.8,    361.963,     512.564,    509.532,
   16,       38.3,    361.963,     524.720,    521.882,
   17,       40.8,    362.261,     535.744,    533.307,
   18,       43.3,    362.276,     545.797,    543.847,
   19,       45.8,    362.157,     555.779,    553.543,
   20,       48.3,    362.455,     563.737,    562.432,
   21,       50.8,    362.425,     571.509,    570.570,
   22,       53.3,    362.619,     578.098,    577.997,
   23,       55.8,    362.396,     584.939,    584.771,
   24,       58.3,    362.381,     590.206,    590.930,
   25,       60.8,    362.470,     595.303,    596.520,
   26,       63.3,    362.574,     600.234,    601.586,
   27,       65.8,    362.530,     604.583,    606.173,
   28,       68.3,    362.545,     608.834,    610.320,
   29,       70.8,    362.470,     612.269,    614.068,
