----,
DateTime:        , 2023/09/25, 11:01:46, 1695650506266,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      55,
Lamps:,        #10000,
Gain:,              2,       1, 
SNR_raw:,      69.10,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    949.385,
    1,        0.8,    216.857,    1061.761,   1010.401,
    2,        3.3,    269.586,    1100.680,   1086.268,
    3,        5.8,    268.843,    1132.073,   1161.505,
    4,        8.3,    270.328,    1204.276,   1235.649,
    5,       10.8,    271.071,    1282.690,   1307.754,
    6,       13.3,    273.299,    1351.999,   1377.505,
    7,       15.8,    275.527,    1417.284,   1444.421,
    8,       18.3,    274.042,    1497.765,   1507.621,
    9,       20.8,    273.299,    1569.526,   1567.079,
   10,       23.3,    274.042,    1627.855,   1622.908,
   11,       25.8,    274.042,    1684.051,   1675.020,
   12,       28.3,    271.814,    1748.256,   1723.298,
   13,       30.8,    270.328,    1804.102,   1767.941,
   14,       33.3,    274.042,    1820.161,   1809.365,
   15,       35.8,    276.270,    1841.860,   1847.611,
   16,       38.3,    271.071,    1909.832,   1882.630,
   17,       40.8,    274.042,    1918.504,   1914.768,
   18,       43.3,    271.814,    1960.166,   1944.168,
   19,       45.8,    270.328,    1993.502,   1971.026,
   20,       48.3,    271.071,    2010.728,   1995.497,
   21,       50.8,    272.556,    2017.565,   2017.744,
   22,       53.3,    271.814,    2041.104,   2038.002,
   23,       55.8,    272.556,    2050.035,   2056.376,
   24,       58.3,    271.071,    2076.393,   2073.118,
   25,       60.8,    275.527,    2055.153,   2088.069,
   26,       63.3,    272.556,    2089.660,   2101.794,
   27,       65.8,    274.784,    2082.724,   2114.081,
