Source DataFile                                           ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
----------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Takuvik\20230925_SeGu1001_2C_16_data.csv , 2023/09/25, 11:01:46,    1695650506266,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.8728,     0.9965,    327.60,    949.38,   2369.65,    0.5994,    0.1610,   5949849,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230925_SeGu1001_2C_16_data.csv , 2023/09/25, 11:02:03,    1695650522864,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.9842,     0.9978,    332.61,   1005.03,   2270.86,    0.5574,    0.2250, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230925_SeGu1001_2C_16_data.csv , 2023/09/25, 11:02:19,    1695650539425,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.2596,     0.9969,    350.49,   1044.84,   2228.97,    0.5312,    0.3370,      6747,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230925_SeGu1001_2C_16_data.csv , 2023/09/25, 11:02:36,    1695650555951,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.8283,     0.9939,    341.09,    992.30,   2272.33,    0.5633,    0.2200,      4845,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230925_SeGu1001_2C_16_data.csv , 2023/09/25, 11:02:52,    1695650572459,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.8136,     0.9819,    331.71,   1000.53,   2277.30,    0.5607,    0.3280,      1002,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230925_SeGu1001_2C_16_data.csv , 2023/09/25, 11:03:09,    1695650588986,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.7818,     0.9989,    344.15,    999.39,   2274.75,    0.5607,    0.2880, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230925_SeGu1001_2C_16_data.csv , 2023/09/25, 11:03:25,    1695650605569,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.7047,     0.9969,    336.04,    982.02,   2266.85,    0.5668,    0.1550, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230925_SeGu1001_2C_16_data.csv , 2023/09/25, 11:03:42,    1695650622175,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.3968,     0.9969,    355.28,   1007.31,   2247.86,    0.5519,    0.2790,      8115,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230925_SeGu1001_2C_16_data.csv , 2023/09/25, 11:03:58,    1695650638694,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.2899,     0.9860,    326.74,    983.91,   2253.20,    0.5633,    0.2590,      1616,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230925_SeGu1001_2C_16_data.csv , 2023/09/25, 11:04:15,    1695650655203,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.6816,     0.9917,    333.37,    998.11,   2267.97,    0.5599,    0.2590,      2940,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230925_SeGu1001_2C_16_data.csv , 2023/09/25, 11:04:31,    1695650671722,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.0708,     0.9991,    355.79,   1024.17,   2248.49,    0.5445,    0.2730, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230925_SeGu1001_2C_16_data.csv , 2023/09/25, 11:04:48,    1695650688307,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.4699,     0.9980,    351.01,   1017.45,   2238.68,    0.5455,    0.3560,     10674,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230925_SeGu1001_2C_16_data.csv , 2023/09/25, 11:05:05,    1695650704825,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.2972,     0.9900,    357.23,   1000.72,   2228.92,    0.5510,    0.3110,      1741,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230925_SeGu1001_2C_16_data.csv , 2023/09/25, 11:05:21,    1695650721348,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.3488,     0.9909,    357.91,    993.91,   2236.23,    0.5555,    0.2770,      2085,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230925_SeGu1001_2C_16_data.csv , 2023/09/25, 11:05:38,    1695650737845,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     4.7841,     0.9951,    328.46,    970.04,   2263.49,    0.5714,    0.0920, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230925_SeGu1001_2C_16_data.csv , 2023/09/25, 11:05:54,    1695650754403,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.1262,     0.9769,    338.04,    990.40,   2226.75,    0.5552,    0.3300,       745,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230925_SeGu1001_2C_16_data.csv , 2023/09/25, 11:06:11,    1695650770888,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   112  ,     1.1000,     0.9986,    342.48,    997.36,   2242.94,    0.5553,    0.2910,     66653,    1.0000,
