----,
DateTime:        , 2023/09/25, 11:23:06, 1695651786086,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      55,
Lamps:,        #10000,
Gain:,              2,       1, 
SNR_raw:,      72.02,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    883.858,
    1,        0.8,    214.104,    1028.007,    959.452,
    2,        3.3,    268.562,    1060.690,   1049.507,
    3,        5.8,    269.308,    1086.674,   1134.779,
    4,        8.3,    265.578,    1180.444,   1213.990,
    5,       10.8,    264.086,    1269.094,   1287.849,
    6,       13.3,    270.054,    1320.476,   1357.926,
    7,       15.8,    270.800,    1393.094,   1423.172,
    8,       18.3,    270.054,    1470.261,   1483.527,
    9,       20.8,    273.038,    1519.019,   1539.705,
   10,       23.3,    270.054,    1595.236,   1591.210,
   11,       25.8,    268.562,    1659.765,   1638.525,
   12,       28.3,    272.292,    1685.873,   1682.329,
   13,       30.8,    272.292,    1728.658,   1722.567,
   14,       33.3,    268.562,    1792.323,   1759.315,
   15,       35.8,    266.324,    1841.929,   1792.929,
   16,       38.3,    269.308,    1854.010,   1823.791,
   17,       40.8,    269.308,    1881.117,   1852.048,
   18,       43.3,    270.800,    1894.202,   1877.910,
   19,       45.8,    271.546,    1913.487,   1901.561,
   20,       48.3,    273.784,    1916.839,   1923.155,
   21,       50.8,    271.546,    1951.418,   1942.935,
   22,       53.3,    273.784,    1951.172,   1960.937,
   23,       55.8,    274.530,    1961.169,   1977.354,
   24,       58.3,    270.800,    2001.661,   1992.477,
   25,       60.8,    271.546,    2007.762,   2006.225,
   26,       63.3,    272.292,    2014.748,   2018.719,
   27,       65.8,    274.530,    2009.615,   2029.998,
