Source DataFile                                          ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
---------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Takuvik\20230925_SeGu1001_2C_1_data.csv , 2023/09/25, 11:23:06,    1695651786086,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     2.3768,     0.9943,    338.23,    883.86,   2267.09,    0.6101,    0.0240, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230925_SeGu1001_2C_1_data.csv , 2023/09/25, 11:23:07,    1695651787672,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.4254,     0.9982,    343.01,   1030.45,   2182.58,    0.5279,    0.2220, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230925_SeGu1001_2C_1_data.csv , 2023/09/25, 11:23:09,    1695651789243,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   121  ,     1.6013,     0.9850,    344.06,   1041.88,   2131.13,    0.5111,    0.3350,      1139,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230925_SeGu1001_2C_1_data.csv , 2023/09/25, 11:23:10,    1695651790771,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.5280,     0.9975,    336.61,    959.47,   2226.06,    0.5690,    0.1980,    273822,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230925_SeGu1001_2C_1_data.csv , 2023/09/25, 11:23:12,    1695651792350,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   211  ,     2.9488,     0.9946,    348.22,    947.80,   2298.75,    0.5877,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230925_SeGu1001_2C_1_data.csv , 2023/09/25, 11:23:14,    1695651793945,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.9571,     0.9985,    356.97,   1009.13,   2212.52,    0.5439,    0.2070, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230925_SeGu1001_2C_1_data.csv , 2023/09/25, 11:23:15,    1695651795521,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.6452,     0.9896,    354.50,   1028.40,   2167.10,    0.5254,    0.3210,      1654,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230925_SeGu1001_2C_1_data.csv , 2023/09/25, 11:23:17,    1695651797015,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.7871,     0.9945,    312.73,    978.47,   2244.04,    0.5640,    0.1240, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230925_SeGu1001_2C_1_data.csv , 2023/09/25, 11:23:18,    1695651798595,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     1.7422,     0.9817,    330.40,    959.10,   2224.86,    0.5689,    0.1520,      1492,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230925_SeGu1001_2C_1_data.csv , 2023/09/25, 11:23:20,    1695651800078,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   112  ,     2.1538,     0.9933,    334.59,    958.17,   2263.83,    0.5767,    0.0000, 1.000e+07,    1.0000,
