----,
DateTime:        , 2023/09/25, 12:39:17, 1695656357736,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      55,
Lamps:,        #10000,
Gain:,            250,     250, 
SNR_raw:,      17.03,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      4.939,
    1,        0.8,    251.070,       4.827,      5.062,
    2,        3.3,    271.359,       5.149,      5.181,
    3,        5.8,    271.359,       5.447,      5.287,
    4,        8.3,    271.359,       5.635,      5.382,
    5,       10.8,    271.359,       5.482,      5.466,
    6,       13.3,    271.359,       5.655,      5.541,
    7,       15.8,    271.359,       5.743,      5.607,
    8,       18.3,    271.359,       5.811,      5.665,
    9,       20.8,    271.359,       5.613,      5.716,
   10,       23.3,    271.359,       5.795,      5.762,
   11,       25.8,    271.359,       5.806,      5.801,
   12,       28.3,    271.359,       5.666,      5.836,
   13,       30.8,    271.359,       5.830,      5.867,
   14,       33.3,    271.359,       5.724,      5.893,
   15,       35.8,    271.359,       5.883,      5.917,
   16,       38.3,    271.359,       5.790,      5.937,
   17,       40.8,    271.359,       5.948,      5.955,
   18,       43.3,    271.359,       5.946,      5.970,
   19,       45.8,    271.359,       6.139,      5.983,
   20,       48.3,    271.359,       5.902,      5.995,
   21,       50.8,    271.359,       6.150,      6.005,
   22,       53.3,    271.359,       6.030,      6.014,
   23,       55.8,    271.359,       5.911,      6.022,
   24,       58.3,    271.359,       5.974,      6.028,
   25,       60.8,    271.359,       5.938,      6.034,
   26,       63.3,    271.359,       6.022,      6.039,
   27,       65.8,    271.359,       5.852,      6.043,
   28,       68.3,    271.359,       6.064,      6.047,
   29,       70.8,    271.359,       5.988,      6.050,
