Source DataFile                                            ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
-----------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Takuvik\20230925_SeGu1005_2C_16s_data.csv , 2023/09/25, 13:30:42,    1695659442500,--Not Acquired--     ,--Not Acquired--     , -1245.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.3683,     0.9435,    243.46,     70.60,    106.44,    0.3367,    0.0010,      1069,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230925_SeGu1005_2C_16s_data.csv , 2023/09/25, 13:30:51,    1695659451234,--Not Acquired--     ,--Not Acquired--     , -1248.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.4886,     0.9252,    213.31,     69.45,    101.33,    0.3146,    0.0000,      1050,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230925_SeGu1005_2C_16s_data.csv , 2023/09/25, 13:30:58,    1695659458305,--Not Acquired--     ,--Not Acquired--     ,   -35.20,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.2546,     0.9245,    216.25,     69.63,    101.75,    0.3157,    0.0000,       963,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230925_SeGu1005_2C_16s_data.csv , 2023/09/25, 13:31:05,    1695659464988,--Not Acquired--     ,--Not Acquired--     ,   -31.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.4496,     0.9281,    231.45,     68.05,    103.55,    0.3428,    0.0000,       817,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230925_SeGu1005_2C_16s_data.csv , 2023/09/25, 13:31:12,    1695659472363,--Not Acquired--     ,--Not Acquired--     ,   170.90,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     1.0960,     0.9368,    230.37,     66.50,    102.10,    0.3487,    0.0550,       914,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230925_SeGu1005_2C_16s_data.csv , 2023/09/25, 13:31:28,    1695659488525,--Not Acquired--     ,--Not Acquired--     ,   171.40,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.6067,     0.9182,    202.39,     63.65,     97.19,    0.3451,    0.0630,       887,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230925_SeGu1005_2C_16s_data.csv , 2023/09/25, 13:32:06,    1695659526777,--Not Acquired--     ,--Not Acquired--     ,   170.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     0.8524,     0.9205,    205.36,     65.35,     99.72,    0.3446,    0.0420,       953,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230925_SeGu1005_2C_16s_data.csv , 2023/09/25, 13:32:23,    1695659543264,--Not Acquired--     ,--Not Acquired--     ,   171.60,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.4042,     0.8917,    181.33,     62.43,     91.33,    0.3165,    0.0000,       905,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230925_SeGu1005_2C_16s_data.csv , 2023/09/25, 13:32:39,    1695659559774,--Not Acquired--     ,--Not Acquired--     ,   171.90,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.7524,     0.8975,    190.88,     60.79,     88.80,    0.3155,    0.0000,       825,    1.0000,
