----,
DateTime:        , 2023/09/25, 13:56:42, 1695661001946,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,          157.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      56,
Lamps:,        #10000,
Gain:,             10,     100, 
SNR_raw:,     293.71,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,     44.492,
    1,        0.8,    511.939,      43.755,     45.331,
    2,        3.3,    542.526,      46.004,     46.223,
    3,        5.8,    542.526,      48.127,     47.108,
    4,        8.3,    542.526,      48.864,     47.977,
    5,       10.8,    542.526,      49.583,     48.822,
    6,       13.3,    542.526,      50.431,     49.638,
    7,       15.8,    542.526,      51.150,     50.420,
    8,       18.3,    542.526,      51.942,     51.166,
    9,       20.8,    542.526,      52.458,     51.874,
   10,       23.3,    542.526,      53.085,     52.544,
   11,       25.8,    542.526,      53.583,     53.176,
   12,       28.3,    542.526,      54.080,     53.769,
   13,       30.8,    542.526,      54.596,     54.326,
   14,       33.3,    542.526,      55.168,     54.846,
   15,       35.8,    542.526,      55.573,     55.332,
   16,       38.3,    542.526,      55.850,     55.785,
   17,       40.8,    542.526,      56.182,     56.206,
   18,       43.3,    542.526,      56.477,     56.597,
   19,       45.8,    542.526,      56.808,     56.961,
   20,       48.3,    542.526,      57.048,     57.297,
   21,       50.8,    542.526,      57.343,     57.609,
   22,       53.3,    542.526,      57.564,     57.898,
   23,       55.8,    542.526,      57.914,     58.164,
   24,       58.3,    542.526,      58.043,     58.410,
   25,       60.8,    542.526,      58.357,     58.638,
   26,       63.3,    542.526,      58.449,     58.847,
   27,       65.8,    542.526,      58.762,     59.041,
   28,       68.3,    542.526,      58.891,     59.219,
   29,       70.8,    542.526,      58.965,     59.383,
