----,
DateTime:        , 2023/09/25, 14:51:08, 1695664268280,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      55,
Lamps:,        #10000,
Gain:,              1,       1, 
SNR_raw:,     113.76,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    379.442,
    1,        0.8,    215.406,     447.063,    421.647,
    2,        3.3,    267.222,     484.761,    474.848,
    3,        5.8,    266.481,     515.233,    528.089,
    4,        8.3,    269.442,     557.077,    580.474,
    5,       10.8,    268.702,     608.853,    630.689,
    6,       13.3,    266.481,     664.587,    678.120,
    7,       15.8,    270.182,     705.819,    723.041,
    8,       18.3,    268.702,     759.950,    764.995,
    9,       20.8,    269.442,     804.254,    804.126,
   10,       23.3,    268.702,     848.896,    840.452,
   11,       25.8,    270.182,     883.847,    874.168,
   12,       28.3,    270.923,     917.974,    905.402,
   13,       30.8,    269.442,     954.193,    934.270,
   14,       33.3,    272.403,     972.089,    960.937,
   15,       35.8,    272.403,     998.153,    985.582,
   16,       38.3,    272.403,    1021.647,   1008.335,
   17,       40.8,    273.884,    1035.111,   1029.301,
   18,       43.3,    270.923,    1064.879,   1048.716,
   19,       45.8,    273.143,    1072.331,   1066.514,
   20,       48.3,    273.143,    1088.439,   1082.925,
   21,       50.8,    272.403,    1102.410,   1098.077,
   22,       53.3,    270.182,    1125.165,   1112.113,
   23,       55.8,    269.442,    1138.648,   1125.024,
   24,       58.3,    271.663,    1139.279,   1136.764,
   25,       60.8,    271.663,    1148.114,   1147.586,
   26,       63.3,    272.403,    1156.374,   1157.520,
   27,       65.8,    273.143,    1159.098,   1166.643,
   28,       68.3,    274.624,    1158.676,   1174.981,
