----,
DateTime:        , 2023/09/25, 16:11:09, 1695669069780,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      55,
Lamps:,        #10000,
Gain:,             10,      50, 
SNR_raw:,     150.20,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,     49.036,
    1,        0.8,    235.483,      51.893,     51.015,
    2,        3.3,    270.092,      53.414,     53.160,
    3,        5.8,    270.374,      54.739,     55.184,
    4,        8.3,    270.648,      56.457,     57.080,
    5,       10.8,    270.866,      58.184,     58.846,
    6,       13.3,    270.793,      60.009,     60.482,
    7,       15.8,    270.858,      61.767,     61.992,
    8,       18.3,    271.043,      63.200,     63.381,
    9,       20.8,    271.068,      64.670,     64.654,
   10,       23.3,    271.076,      66.070,     65.819,
   11,       25.8,    271.043,      67.185,     66.882,
   12,       28.3,    271.269,      68.161,     67.850,
   13,       30.8,    271.326,      69.105,     68.730,
   14,       33.3,    271.277,      69.707,     69.528,
   15,       35.8,    271.317,      70.582,     70.252,
   16,       38.3,    271.293,      71.325,     70.908,
   17,       40.8,    271.446,      71.764,     71.500,
   18,       43.3,    271.422,      72.249,     72.036,
   19,       45.8,    271.600,      72.644,     72.518,
   20,       48.3,    271.600,      72.975,     72.954,
   21,       50.8,    271.543,      73.579,     73.346,
   22,       53.3,    271.406,      73.543,     73.701,
   23,       55.8,    271.737,      73.969,     74.019,
   24,       58.3,    271.608,      74.225,     74.305,
   25,       60.8,    271.833,      74.457,     74.562,
   26,       63.3,    271.721,      74.746,     74.793,
   27,       65.8,    271.866,      74.743,     75.000,
   28,       68.3,    271.866,      75.037,     75.187,
   29,       70.8,    271.898,      75.102,     75.354,
