----,
DateTime:        , 2023/09/26, 11:21:39, 1695738099523,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,          -93.48,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      65,
Lamps:,        #10000,
Gain:,             50,     100, 
SNR_raw:,      64.48,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    345.256,
    1,        0.8,    119.115,     375.537,    358.232,
    2,        3.3,    151.191,     396.715,    382.587,
    3,        5.8,    151.196,     413.399,    408.408,
    4,        8.3,    151.530,     426.954,    432.603,
    5,       10.8,    151.358,     441.219,    454.859,
    6,       13.3,    151.354,     457.920,    475.127,
    7,       15.8,    151.525,     474.878,    493.455,
    8,       18.3,    151.495,     491.712,    509.918,
    9,       20.8,    151.628,     509.273,    524.600,
   10,       23.3,    151.431,     526.392,    537.624,
   11,       25.8,    151.688,     542.746,    549.093,
   12,       28.3,    151.692,     559.291,    559.172,
   13,       30.8,    151.650,     574.892,    567.980,
   14,       33.3,    151.808,     587.677,    575.637,
   15,       35.8,    151.435,     593.032,    582.305,
   16,       38.3,    151.590,     597.192,    588.040,
   17,       40.8,    151.517,     600.079,    593.000,
   18,       43.3,    151.650,     602.456,    597.256,
   19,       45.8,    151.483,     605.774,    600.930,
   20,       48.3,    151.602,     606.627,    604.062,
   21,       50.8,    151.615,     608.449,    606.748,
   22,       53.3,    151.692,     609.366,    609.040,
   23,       55.8,    151.782,     610.349,    610.994,
   24,       58.3,    151.829,     611.661,    612.662,
   25,       60.8,    151.817,     612.964,    614.087,
   26,       63.3,    151.654,     614.189,    615.310,
   27,       65.8,    151.628,     615.744,    616.340,
   28,       68.3,    151.748,     616.378,    617.202,
   29,       70.8,    151.735,     617.208,    617.941,
