----,
DateTime:        , 2023/09/26, 10:45:01, 1695735900914,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,         -118.84,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      65,
Lamps:,        #10000,
Gain:,             50,     100, 
SNR_raw:,     215.46,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    369.789,
    1,        0.8,    240.264,     350.671,    368.626,
    2,        3.3,    271.591,     357.326,    368.045,
    3,        5.8,    271.591,     363.213,    368.001,
    4,        8.3,    271.591,     364.678,    368.267,
    5,       10.8,    271.591,     366.033,    368.697,
    6,       13.3,    271.591,     367.410,    369.200,
    7,       15.8,    271.591,     368.515,    369.719,
    8,       18.3,    271.591,     369.539,    370.222,
    9,       20.8,    271.591,     370.341,    370.690,
   10,       23.3,    271.591,     370.886,    371.115,
   11,       25.8,    271.591,     371.424,    371.494,
   12,       28.3,    271.591,     371.843,    371.827,
   13,       30.8,    271.591,     372.300,    372.116,
   14,       33.3,    271.591,     372.573,    372.366,
   15,       35.8,    271.591,     372.867,    372.580,
   16,       38.3,    271.591,     373.066,    372.762,
   17,       40.8,    271.591,     373.272,    372.915,
   18,       43.3,    271.591,     373.383,    373.044,
   19,       45.8,    271.591,     373.383,    373.151,
   20,       48.3,    271.591,     373.383,    373.240,
   21,       50.8,    271.591,     373.383,    373.313,
   22,       53.3,    271.591,     373.383,    373.371,
   23,       55.8,    271.591,     373.383,    373.418,
   24,       58.3,    271.591,     373.383,    373.455,
   25,       60.8,    271.591,     373.383,    373.483,
   26,       63.3,    271.591,     373.383,    373.504,
   27,       65.8,    271.591,     373.383,    373.518,
   28,       68.3,    271.591,     373.383,    373.526,
   29,       70.8,    271.591,     373.383,    373.531,
