----,
DateTime:        , 2023/09/26, 16:37:14, 1695757034638,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,        -1273.50,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      65,
Lamps:,        #10000,
Gain:,              2,      25, 
SNR_raw:,     359.95,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    524.702,
    1,        0.8,    238.344,     559.345,    551.257,
    2,        3.3,    270.883,     603.605,    594.061,
    3,        5.8,    270.818,     642.557,    643.575,
    4,        8.3,    271.143,     687.520,    694.724,
    5,       10.8,    271.273,     733.455,    744.954,
    6,       13.3,    271.338,     781.190,    793.017,
    7,       15.8,    271.354,     829.420,    838.351,
    8,       18.3,    271.419,     873.986,    880.753,
    9,       20.8,    271.419,     917.830,    920.207,
   10,       23.3,    271.467,     958.001,    956.788,
   11,       25.8,    271.305,     996.171,    990.628,
   12,       28.3,    271.500,    1029.342,   1021.855,
   13,       30.8,    271.678,    1059.952,   1050.640,
   14,       33.3,    271.857,    1086.844,   1077.144,
   15,       35.8,    271.792,    1112.675,   1101.537,
   16,       38.3,    271.743,    1134.586,   1123.953,
   17,       40.8,    271.841,    1153.125,   1144.521,
   18,       43.3,    271.954,    1170.661,   1163.382,
   19,       45.8,    272.068,    1186.160,   1180.667,
   20,       48.3,    272.117,    1201.015,   1196.504,
   21,       50.8,    272.052,    1214.718,   1211.013,
   22,       53.3,    272.052,    1227.216,   1224.286,
   23,       55.8,    272.182,    1237.653,   1236.410,
   24,       58.3,    271.954,    1247.879,   1247.519,
   25,       60.8,    272.035,    1255.778,   1257.649,
   26,       63.3,    272.100,    1264.850,   1266.893,
   27,       65.8,    272.198,    1271.929,   1275.324,
   28,       68.3,    272.328,    1279.217,   1283.011,
