Source DataFile                                             ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1008_10C_16s_data.csv , 2023/09/26, 16:37:14,    1695757034638,--Not Acquired--     ,--Not Acquired--     , -1273.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     2.1433,     0.9735,    308.58,    524.70,   1464.43,    0.6417,    0.0960,      1253,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1008_10C_16s_data.csv , 2023/09/26, 16:38:18,    1695757098321,--Not Acquired--     ,--Not Acquired--     , -1267.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     1.7849,     0.9757,    315.25,    534.80,   1416.96,    0.6226,    0.1320,      1219,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1008_10C_16s_data.csv , 2023/09/26, 16:39:07,    1695757147303,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,    11.2147,     0.9893,    333.76,    445.53,   1316.09,    0.6615,    0.0250,      5741,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1008_10C_16s_data.csv , 2023/09/26, 16:39:24,    1695757163800,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     1.2870,     0.9966,    350.69,    508.27,   1268.70,    0.5994,    0.1990,     13933,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1008_10C_16s_data.csv , 2023/09/26, 16:39:40,    1695757180342,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     1.1935,     0.9969,    353.72,    505.12,   1266.67,    0.6012,    0.2110,     13596,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1008_10C_16s_data.csv , 2023/09/26, 16:39:57,    1695757196847,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     3.7069,     0.9948,    347.83,    481.47,   1288.17,    0.6262,    0.1470,      9048,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1008_10C_16s_data.csv , 2023/09/26, 16:40:13,    1695757213347,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     6.6212,     0.9938,    346.67,    472.24,   1288.62,    0.6335,    0.1120,      8050,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1008_10C_16s_data.csv , 2023/09/26, 16:40:30,    1695757229845,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     3.0581,     0.9952,    349.43,    483.70,   1279.25,    0.6219,    0.1540,      9556,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1008_10C_16s_data.csv , 2023/09/26, 16:40:46,    1695757246349,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     2.5734,     0.9957,    350.19,    488.59,   1275.13,    0.6168,    0.1730,     10197,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1008_10C_16s_data.csv , 2023/09/26, 16:41:03,    1695757262855,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     2.6410,     0.9958,    351.33,    487.62,   1275.47,    0.6177,    0.1790,     10094,    1.0000,
