----,
DateTime:        , 2023/09/26, 10:00:24, 1695733224695,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      55,
Lamps:,        #10000,
Gain:,             10,     100, 
SNR_raw:,     103.99,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,     33.327,
    1,        0.8,    239.477,      34.492,     34.323,
    2,        3.3,    271.574,      35.496,     35.405,
    3,        5.8,    271.574,      36.381,     36.440,
    4,        8.3,    271.574,      37.227,     37.419,
    5,       10.8,    271.574,      38.295,     38.340,
    6,       13.3,    271.574,      39.069,     39.199,
    7,       15.8,    271.574,      39.916,     39.998,
    8,       18.3,    271.574,      40.578,     40.737,
    9,       20.8,    271.574,      41.462,     41.418,
   10,       23.3,    271.574,      42.309,     42.044,
   11,       25.8,    271.574,      42.824,     42.617,
   12,       28.3,    271.574,      43.193,     43.140,
   13,       30.8,    271.574,      43.819,     43.617,
   14,       33.3,    271.574,      44.371,     44.052,
   15,       35.8,    271.574,      44.592,     44.446,
   16,       38.3,    271.574,      44.923,     44.804,
   17,       40.8,    271.574,      45.144,     45.128,
   18,       43.3,    271.574,      45.439,     45.421,
   19,       45.8,    271.574,      45.881,     45.686,
   20,       48.3,    271.574,      45.807,     45.925,
   21,       50.8,    271.574,      46.175,     46.141,
   22,       53.3,    271.574,      46.212,     46.336,
   23,       55.8,    271.574,      46.691,     46.511,
   24,       58.3,    271.574,      46.691,     46.669,
   25,       60.8,    271.574,      46.654,     46.811,
   26,       63.3,    271.574,      46.838,     46.939,
   27,       65.8,    271.574,      46.838,     47.053,
   28,       68.3,    271.574,      47.022,     47.157,
   29,       70.8,    271.574,      46.875,     47.249,
