Source DataFile                                           ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
----------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1008_6C_1s_data.csv , 2023/09/26, 10:34:17,    1695735257011,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     5.2742,     0.9910,    393.80,     25.39,     50.13,    0.4935,    0.0000,      3605,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1008_6C_1s_data.csv , 2023/09/26, 10:34:18,    1695735258475,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   112  ,     2.0911,     0.9974,    396.71,     27.65,     49.56,    0.4420,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1008_6C_1s_data.csv , 2023/09/26, 10:34:20,    1695735260037,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   112  ,     1.8829,     0.9977,    405.47,     27.31,     49.13,    0.4442,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1008_6C_1s_data.csv , 2023/09/26, 10:34:21,    1695735261606,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   112  ,     2.6363,     0.9966,    394.84,     27.11,     49.81,    0.4557,    0.0000,     31942,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1008_6C_1s_data.csv , 2023/09/26, 10:34:23,    1695735263117,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.7558,     0.9816,    398.35,     26.28,     49.84,    0.4728,    0.0000,      1350,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1008_6C_1s_data.csv , 2023/09/26, 10:34:24,    1695735264617,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.3685,     0.9978,    407.32,     26.93,     49.46,    0.4555,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1008_6C_1s_data.csv , 2023/09/26, 10:34:26,    1695735266161,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   112  ,     1.7390,     0.9979,    410.93,     27.17,     49.10,    0.4468,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1008_6C_1s_data.csv , 2023/09/26, 10:34:27,    1695735267715,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.0405,     0.9979,    411.25,     26.73,     49.50,    0.4600,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1008_6C_1s_data.csv , 2023/09/26, 10:34:29,    1695735269262,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.7166,     0.9887,    408.52,     26.31,     49.45,    0.4679,    0.0000,      2324,    1.0000,
