Source DataFile                                                    ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
-------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_0C_16s_data.csv , 2023/09/27, 12:53:59,    1695830039615,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,    18.2297,     0.9833,    212.62,    235.98,    563.46,    0.5812,    0.0000,     13489,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_0C_16s_data.csv , 2023/09/27, 12:54:47,    1695830087569,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,    19.6222,     0.9847,    214.25,    232.77,    560.97,    0.5851,    0.0000,     22675,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_0C_16s_data.csv , 2023/09/27, 12:55:04,    1695830104104,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,    11.4472,     0.9867,    216.49,    240.16,    550.81,    0.5640,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_0C_16s_data.csv , 2023/09/27, 12:55:20,    1695830120678,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,    14.7607,     0.9854,    214.80,    237.11,    556.80,    0.5742,    0.0000,     35116,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_0C_16s_data.csv , 2023/09/27, 12:55:37,    1695830137224,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,    20.5823,     0.9849,    213.09,    234.26,    562.32,    0.5834,    0.0000,     35688,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_0C_16s_data.csv , 2023/09/27, 12:55:53,    1695830153787,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,    21.8429,     0.9845,    212.61,    234.49,    561.56,    0.5824,    0.0000,     28950,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_0C_16s_data.csv , 2023/09/27, 12:56:10,    1695830170323,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,    11.6711,     0.9854,    215.23,    235.21,    557.48,    0.5781,    0.0000,     31187,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_0C_16s_data.csv , 2023/09/27, 12:56:27,    1695830186855,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,    17.0379,     0.9867,    216.44,    234.80,    555.55,    0.5774,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_0C_16s_data.csv , 2023/09/27, 12:56:43,    1695830203429,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,    14.6630,     0.9838,    213.67,    234.69,    557.83,    0.5793,    0.0000,     14256,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_0C_16s_data.csv , 2023/09/27, 12:57:00,    1695830219974,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,    15.1856,     0.9851,    214.65,    234.04,    558.30,    0.5808,    0.0000,     28840,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_0C_16s_data.csv , 2023/09/27, 12:57:16,    1695830236520,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,    16.2688,     0.9852,    215.03,    234.18,    556.88,    0.5795,    0.0000,     28442,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_0C_16s_data.csv , 2023/09/27, 12:57:33,    1695830253036,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,    17.3975,     0.9852,    214.59,    234.60,    556.48,    0.5784,    0.0000,     30364,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_0C_16s_data.csv , 2023/09/27, 12:57:49,    1695830269547,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,    13.9724,     0.9866,    216.10,    233.90,    555.85,    0.5792,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_0C_16s_data.csv , 2023/09/27, 12:58:06,    1695830286122,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,    16.9630,     0.9853,    215.03,    234.07,    556.56,    0.5794,    0.0000,     29438,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_0C_16s_data.csv , 2023/09/27, 12:58:22,    1695830302659,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,    15.8985,     0.9866,    216.22,    233.88,    555.22,    0.5788,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_0C_16s_data.csv , 2023/09/27, 12:58:39,    1695830319234,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,    17.7874,     0.9844,    214.08,    234.72,    555.53,    0.5775,    0.0000,     18378,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_0C_16s_data.csv , 2023/09/27, 12:58:55,    1695830335767,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,    11.8873,     0.9867,    216.56,    234.01,    554.81,    0.5782,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_0C_16s_data.csv , 2023/09/27, 12:59:12,    1695830352342,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,    13.9046,     0.9868,    216.77,    233.99,    554.30,    0.5779,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_0C_16s_data.csv , 2023/09/27, 12:59:29,    1695830368936,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,    14.7291,     0.9867,    216.58,    234.15,    554.21,    0.5775,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_0C_16s_data.csv , 2023/09/27, 12:59:45,    1695830385507,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,    14.8564,     0.9855,    215.80,    234.13,    554.52,    0.5778,    0.0000,     30319,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_0C_16s_data.csv , 2023/09/27, 13:00:02,    1695830402056,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,    14.7733,     0.9854,    215.56,    234.42,    554.58,    0.5773,    0.0000,     30836,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_0C_16s_data.csv , 2023/09/27, 13:00:18,    1695830418584,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,    15.4919,     0.9853,    215.08,    234.38,    554.62,    0.5774,    0.0000,     30393,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_0C_16s_data.csv , 2023/09/27, 13:00:35,    1695830435132,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,    14.0016,     0.9870,    217.49,    233.88,    553.05,    0.5771,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_0C_16s_data.csv , 2023/09/27, 13:00:51,    1695830451712,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,    14.5818,     0.9856,    216.20,    234.43,    553.72,    0.5766,    0.0000,     31649,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_0C_16s_data.csv , 2023/09/27, 13:01:08,    1695830468240,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,    14.6475,     0.9869,    217.31,    234.41,    552.97,    0.5761,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_0C_16s_data.csv , 2023/09/27, 13:01:25,    1695830484855,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,    16.3293,     0.9857,    216.36,    235.06,    553.36,    0.5752,    0.0000,     32019,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_0C_16s_data.csv , 2023/09/27, 13:01:41,    1695830501393,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,    13.3236,     0.9858,    216.56,    234.42,    553.06,    0.5761,    0.0000,     33040,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_0C_16s_data.csv , 2023/09/27, 13:01:58,    1695830517940,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,    15.7056,     0.9858,    215.64,    235.39,    553.40,    0.5746,    0.0000,     43752,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_0C_16s_data.csv , 2023/09/27, 13:02:14,    1695830534491,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   201  ,    13.5315,     0.9874,    219.17,    233.54,    551.06,    0.5762,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_0C_16s_data.csv , 2023/09/27, 13:02:31,    1695830551095,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,    16.9100,     0.9859,    216.63,    234.90,    552.57,    0.5749,    0.0000,     35092,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_0C_16s_data.csv , 2023/09/27, 13:02:47,    1695830567650,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   201  ,    11.1809,     0.9864,    218.83,    233.87,    550.98,    0.5755,    0.0000,     32329,    1.0000,
