----,
DateTime:        , 2023/09/27, 15:00:43, 1695837643287,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      55,
Lamps:,        #10000,
Gain:,              5,      50, 
SNR_raw:,     386.00,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    227.955,
    1,        0.8,    319.844,     241.368,    242.900,
    2,        3.3,    360.145,     255.651,    259.118,
    3,        5.8,    360.381,     268.327,    274.689,
    4,        8.3,    360.648,     283.212,    289.559,
    5,       10.8,    360.822,     298.208,    303.693,
    6,       13.3,    361.050,     312.976,    317.081,
    7,       15.8,    360.955,     327.741,    329.715,
    8,       18.3,    361.199,     341.141,    341.613,
    9,       20.8,    361.034,     354.150,    352.788,
   10,       23.3,    361.128,     366.186,    363.267,
   11,       25.8,    361.168,     377.553,    373.078,
   12,       28.3,    361.317,     387.194,    382.253,
   13,       30.8,    361.537,     396.971,    390.823,
   14,       33.3,    361.608,     404.969,    398.818,
   15,       35.8,    362.017,     412.301,    406.273,
   16,       38.3,    361.742,     418.973,    413.216,
   17,       40.8,    361.852,     425.091,    419.679,
   18,       43.3,    361.828,     430.922,    425.691,
   19,       45.8,    362.080,     435.484,    431.282,
   20,       48.3,    362.002,     440.164,    436.478,
   21,       50.8,    362.057,     444.129,    441.306,
   22,       53.3,    362.120,     448.250,    445.791,
   23,       55.8,    362.285,     451.689,    449.954,
   24,       58.3,    362.340,     455.153,    453.819,
   25,       60.8,    362.182,     458.001,    457.408,
   26,       63.3,    362.300,     461.164,    460.737,
   27,       65.8,    362.230,     463.628,    463.826,
   28,       68.3,    362.395,     466.287,    466.691,
   29,       70.8,    362.190,     468.428,    469.350,
