----,
DateTime:        , 2023/09/27, 11:25:38, 1695824738706,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,          -39.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      65,
Lamps:,        #10000,
Gain:,              5,      50, 
SNR_raw:,     382.79,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    131.954,
    1,        0.8,    319.599,     139.747,    138.819,
    2,        3.3,    360.626,     149.559,    147.874,
    3,        5.8,    360.972,     158.248,    157.690,
    4,        8.3,    361.373,     167.038,    167.689,
    5,       10.8,    361.349,     176.015,    177.520,
    6,       13.3,    361.663,     184.821,    186.985,
    7,       15.8,    361.679,     194.158,    195.977,
    8,       18.3,    361.498,     203.218,    204.445,
    9,       20.8,    361.930,     212.093,    212.373,
   10,       23.3,    361.867,     219.757,    219.769,
   11,       25.8,    362.048,     227.160,    226.650,
   12,       28.3,    362.182,     234.090,    233.041,
   13,       30.8,    362.182,     240.661,    238.969,
   14,       33.3,    362.378,     246.105,    244.463,
   15,       35.8,    362.559,     251.167,    249.552,
   16,       38.3,    362.543,     256.033,    254.265,
   17,       40.8,    362.527,     260.237,    258.628,
   18,       43.3,    362.512,     264.110,    262.667,
   19,       45.8,    362.614,     267.621,    266.402,
   20,       48.3,    362.567,     271.131,    269.860,
   21,       50.8,    362.598,     273.644,    273.058,
   22,       53.3,    362.810,     276.627,    276.014,
   23,       55.8,    362.896,     278.931,    278.748,
   24,       58.3,    362.826,     281.465,    281.280,
   25,       60.8,    362.967,     283.670,    283.620,
   26,       63.3,    362.849,     285.416,    285.788,
   27,       65.8,    363.164,     286.766,    287.788,
   28,       68.3,    363.093,     288.750,    289.640,
   29,       70.8,    363.038,     290.446,    291.355,
