Source DataFile                                                   ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1008_2C_2s_data.csv , 2023/09/27, 12:02:05,    1695826925275,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,    19.6596,     0.9758,    192.50,    119.52,    319.18,    0.6255,    0.0000,     12291,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1008_2C_2s_data.csv , 2023/09/27, 12:02:07,    1695826927799,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     7.8873,     0.9845,    208.87,    131.23,    303.19,    0.5672,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1008_2C_2s_data.csv , 2023/09/27, 12:02:10,    1695826930384,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     4.3009,     0.9863,    210.90,    135.69,    299.72,    0.5473,    0.0250, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1008_2C_2s_data.csv , 2023/09/27, 12:02:13,    1695826932960,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     9.5755,     0.9824,    205.93,    127.62,    310.62,    0.5891,    0.0000,     28165,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1008_2C_2s_data.csv , 2023/09/27, 12:02:15,    1695826935502,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,    14.1107,     0.9823,    202.16,    125.49,    315.56,    0.6023,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1008_2C_2s_data.csv , 2023/09/27, 12:02:18,    1695826938075,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,    11.0768,     0.9834,    205.44,    129.15,    309.19,    0.5823,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1008_2C_2s_data.csv , 2023/09/27, 12:02:20,    1695826940663,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     9.9802,     0.9829,    204.02,    133.13,    305.37,    0.5640,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1008_2C_2s_data.csv , 2023/09/27, 12:02:23,    1695826943240,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     8.2069,     0.9815,    203.55,    130.42,    310.02,    0.5793,    0.0000,     24584,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1008_2C_2s_data.csv , 2023/09/27, 12:02:25,    1695826945781,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,    10.3334,     0.9820,    205.35,    128.42,    312.48,    0.5890,    0.0000,     23251,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1008_2C_2s_data.csv , 2023/09/27, 12:02:28,    1695826948320,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,    10.7079,     0.9813,    203.79,    129.93,    311.79,    0.5833,    0.0000,     20253,    1.0000,
