----,
DateTime:        , 2023/09/25, 12:09:51, 1695654591770,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,        -1282.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      65,
Lamps:,        #10000,
Gain:,              2,       1, 
SNR_raw:,     141.90,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    500.607,
    1,        0.8,    240.980,     517.112,    519.084,
    2,        3.3,    271.284,     549.869,    545.224,
    3,        5.8,    270.465,     579.055,    574.814,
    4,        8.3,    270.055,     608.075,    606.042,
    5,       10.8,    272.512,     632.867,    637.990,
    6,       13.3,    270.465,     668.531,    669.734,
    7,       15.8,    270.874,     698.900,    700.941,
    8,       18.3,    270.465,     730.831,    731.305,
    9,       20.8,    272.922,     754.663,    760.786,
   10,       23.3,    272.922,     783.792,    789.183,
   11,       25.8,    271.693,     816.045,    816.342,
   12,       28.3,    271.284,     843.817,    842.218,
   13,       30.8,    271.284,     869.621,    866.794,
   14,       33.3,    273.741,     885.743,    890.135,
   15,       35.8,    270.874,     918.190,    912.145,
   16,       38.3,    273.331,     931.704,    932.885,
   17,       40.8,    271.693,     956.277,    952.361,
   18,       43.3,    273.741,     966.842,    970.606,
   19,       45.8,    271.284,     992.186,    987.661,
   20,       48.3,    270.465,    1011.089,   1003.525,
   21,       50.8,    271.284,    1022.597,   1018.248,
   22,       53.3,    272.922,    1029.650,   1031.899,
   23,       55.8,    270.055,    1052.614,   1044.595,
   24,       58.3,    272.922,    1053.283,   1056.264,
   25,       60.8,    271.693,    1068.904,   1067.081,
   26,       63.3,    272.103,    1077.769,   1077.034,
   27,       65.8,    272.103,    1085.854,   1086.195,
   28,       68.3,    272.103,    1094.858,   1094.611,
