----,
DateTime:        , 2023/09/25, 12:46:57, 1695656817292,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,          -19.34,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      65,
Lamps:,        #10000,
Gain:,            250,     250, 
SNR_raw:,      18.37,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      6.122,
    1,        0.8,    251.116,       5.651,      6.162,
    2,        3.3,    271.295,       5.996,      6.207,
    3,        5.8,    271.295,       6.315,      6.250,
    4,        8.3,    271.295,       6.375,      6.291,
    5,       10.8,    271.295,       6.428,      6.330,
    6,       13.3,    271.295,       6.443,      6.366,
    7,       15.8,    271.295,       6.493,      6.401,
    8,       18.3,    271.295,       6.595,      6.434,
    9,       20.8,    271.295,       6.411,      6.464,
   10,       23.3,    271.295,       6.654,      6.494,
   11,       25.8,    271.295,       6.658,      6.521,
   12,       28.3,    271.295,       6.517,      6.547,
   13,       30.8,    271.295,       6.536,      6.571,
   14,       33.3,    271.295,       6.450,      6.594,
   15,       35.8,    271.295,       6.617,      6.616,
   16,       38.3,    271.295,       6.583,      6.636,
   17,       40.8,    271.295,       6.682,      6.655,
   18,       43.3,    271.295,       6.756,      6.673,
   19,       45.8,    271.295,       6.809,      6.689,
   20,       48.3,    271.295,       6.753,      6.705,
   21,       50.8,    271.295,       6.809,      6.720,
   22,       53.3,    271.295,       6.841,      6.733,
   23,       55.8,    271.295,       6.585,      6.746,
   24,       58.3,    271.295,       6.621,      6.758,
   25,       60.8,    271.295,       6.720,      6.769,
   26,       63.3,    271.295,       6.959,      6.779,
   27,       65.8,    271.295,       6.761,      6.789,
   28,       68.3,    271.295,       6.770,      6.797,
   29,       70.8,    271.295,       6.663,      6.806,
