----,
DateTime:        , 2023/09/25, 15:04:48, 1695665088599,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      55,
Lamps:,        #10000,
Gain:,              1,       1, 
SNR_raw:,      88.90,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    393.989,
    1,        0.8,    217.877,     468.612,    438.587,
    2,        3.3,    272.347,     501.102,    493.030,
    3,        5.8,    273.839,     526.952,    546.107,
    4,        8.3,    272.347,     574.268,    596.822,
    5,       10.8,    270.854,     626.905,    644.903,
    6,       13.3,    270.854,     676.378,    690.391,
    7,       15.8,    272.347,     718.937,    733.365,
    8,       18.3,    272.347,     764.467,    773.638,
    9,       20.8,    269.362,     816.373,    811.001,
   10,       23.3,    271.600,     850.146,    845.963,
   11,       25.8,    270.108,     890.014,    878.358,
   12,       28.3,    272.347,     916.479,    908.521,
   13,       30.8,    273.093,     942.171,    936.484,
   14,       33.3,    270.108,     979.978,    962.226,
   15,       35.8,    272.347,     994.688,    986.056,
   16,       38.3,    270.108,    1025.145,   1007.986,
   17,       40.8,    271.600,    1036.081,   1028.214,
   18,       43.3,    270.854,    1055.549,   1046.834,
   19,       45.8,    267.870,    1082.616,   1063.948,
   20,       48.3,    272.347,    1080.241,   1079.675,
   21,       50.8,    267.870,    1111.734,   1094.160,
   22,       53.3,    271.600,    1107.877,   1107.424,
   23,       55.8,    271.600,    1118.555,   1119.616,
   24,       58.3,    274.585,    1116.229,   1130.771,
   25,       60.8,    271.600,    1138.437,   1141.086,
   26,       63.3,    274.585,    1134.439,   1150.482,
   27,       65.8,    269.362,    1164.604,   1159.245,
   28,       68.3,    270.854,    1162.248,   1167.216,
