----,
DateTime:        , 2023/09/25, 15:46:44, 1695667603992,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,          171.90,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      65,
Lamps:,        #10000,
Gain:,             10,      50, 
SNR_raw:,      84.49,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,     14.420,
    1,        0.8,    319.665,      15.074,     15.064,
    2,        3.3,    360.615,      15.791,     15.768,
    3,        5.8,    360.907,      16.427,     16.448,
    4,        8.3,    361.477,      17.065,     17.099,
    5,       10.8,    361.374,      17.623,     17.717,
    6,       13.3,    361.809,      18.293,     18.301,
    7,       15.8,    361.777,      18.820,     18.849,
    8,       18.3,    361.943,      19.585,     19.362,
    9,       20.8,    361.912,      19.890,     19.841,
   10,       23.3,    361.983,      20.632,     20.287,
   11,       25.8,    361.912,      20.913,     20.700,
   12,       28.3,    362.315,      21.303,     21.083,
   13,       30.8,    362.125,      21.480,     21.437,
   14,       33.3,    362.386,      21.851,     21.764,
   15,       35.8,    362.489,      22.204,     22.066,
   16,       38.3,    362.529,      22.422,     22.343,
   17,       40.8,    362.505,      22.616,     22.599,
   18,       43.3,    362.576,      22.750,     22.834,
   19,       45.8,    362.608,      23.189,     23.050,
   20,       48.3,    362.805,      23.149,     23.249,
   21,       50.8,    362.853,      23.284,     23.431,
   22,       53.3,    362.837,      23.505,     23.598,
   23,       55.8,    362.979,      23.854,     23.751,
   24,       58.3,    362.948,      23.829,     23.892,
   25,       60.8,    363.217,      23.866,     24.020,
   26,       63.3,    363.090,      24.067,     24.138,
   27,       65.8,    363.217,      24.169,     24.246,
   28,       68.3,    363.296,      24.356,     24.345,
   29,       70.8,    363.201,      24.087,     24.436,
