----,
DateTime:        , 2023/09/25, 16:20:56, 1695669656436,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,          166.90,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      65,
Lamps:,        #10000,
Gain:,             10,      50, 
SNR_raw:,     153.39,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,     42.750,
    1,        0.8,    236.534,      44.770,     44.689,
    2,        3.3,    270.823,      47.038,     46.855,
    3,        5.8,    270.911,      49.018,     48.944,
    4,        8.3,    271.336,      50.711,     50.928,
    5,       10.8,    271.304,      52.597,     52.789,
    6,       13.3,    271.312,      54.401,     54.519,
    7,       15.8,    271.384,      55.971,     56.117,
    8,       18.3,    271.488,      57.497,     57.584,
    9,       20.8,    271.640,      58.900,     58.927,
   10,       23.3,    271.528,      60.435,     60.151,
   11,       25.8,    271.704,      61.463,     61.264,
   12,       28.3,    271.792,      62.583,     62.275,
   13,       30.8,    271.720,      63.557,     63.190,
   14,       33.3,    271.824,      64.379,     64.017,
   15,       35.8,    272.096,      65.233,     64.765,
   16,       38.3,    272.184,      65.616,     65.440,
   17,       40.8,    271.936,      66.301,     66.049,
   18,       43.3,    271.912,      66.638,     66.599,
   19,       45.8,    272.080,      67.222,     67.093,
   20,       48.3,    272.056,      67.558,     67.539,
   21,       50.8,    272.184,      67.784,     67.940,
   22,       53.3,    272.232,      68.029,     68.301,
   23,       55.8,    272.032,      68.594,     68.626,
   24,       58.3,    272.144,      68.529,     68.919,
   25,       60.8,    272.304,      69.186,     69.182,
   26,       63.3,    272.432,      69.190,     69.418,
   27,       65.8,    272.408,      69.527,     69.630,
   28,       68.3,    272.160,      69.554,     69.822,
   29,       70.8,    272.520,      69.792,     69.993,
