Source DataFile                                                             ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
----------------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Takuvik\DecayRef\20230926_SeGu1001_0C_1s_DecayRef_data.csv , 2023/09/26, 15:54:08,    1695754447866,--Not Acquired--     ,--Not Acquired--     , -1233.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     2.2645,     0.9812,    325.97,    930.06,   2374.66,    0.6083,    0.0080,      2313,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\DecayRef\20230926_SeGu1001_0C_1s_DecayRef_data.csv , 2023/09/26, 15:54:09,    1695754449383,--Not Acquired--     ,--Not Acquired--     , -1231.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.5252,     0.9856,    328.28,   1018.57,   2213.33,    0.5398,    0.1140,      2373,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\DecayRef\20230926_SeGu1001_0C_1s_DecayRef_data.csv , 2023/09/26, 15:54:11,    1695754450900,--Not Acquired--     ,--Not Acquired--     , -1228.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.4786,     0.9834,    323.31,   1028.90,   2214.73,    0.5354,    0.1340,      1897,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\DecayRef\20230926_SeGu1001_0C_1s_DecayRef_data.csv , 2023/09/26, 15:54:12,    1695754452424,--Not Acquired--     ,--Not Acquired--     , -1230.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     1.2148,     0.9816,    324.80,    971.79,   2292.40,    0.5761,    0.0620,      2003,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\DecayRef\20230926_SeGu1001_0C_1s_DecayRef_data.csv , 2023/09/26, 15:54:14,    1695754453973,--Not Acquired--     ,--Not Acquired--     , -1215.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     1.2299,     0.9823,    327.49,    979.76,   2314.92,    0.5768,    0.0490,      2170,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\DecayRef\20230926_SeGu1001_0C_1s_DecayRef_data.csv , 2023/09/26, 15:54:15,    1695754455486,--Not Acquired--     ,--Not Acquired--     , -1211.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.7967,     0.9835,    325.19,    996.33,   2255.64,    0.5583,    0.0820,      2213,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\DecayRef\20230926_SeGu1001_0C_1s_DecayRef_data.csv , 2023/09/26, 15:54:17,    1695754456996,--Not Acquired--     ,--Not Acquired--     , -1222.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     0.6965,     0.9830,    324.02,   1006.51,   2250.59,    0.5528,    0.0870,      2106,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\DecayRef\20230926_SeGu1001_0C_1s_DecayRef_data.csv , 2023/09/26, 15:54:18,    1695754458515,--Not Acquired--     ,--Not Acquired--     , -1214.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     0.9705,     0.9822,    325.68,   1009.45,   2293.07,    0.5598,    0.0620,      2100,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\DecayRef\20230926_SeGu1001_0C_1s_DecayRef_data.csv , 2023/09/26, 15:54:20,    1695754460021,--Not Acquired--     ,--Not Acquired--     , -1233.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.9275,     0.9822,    326.22,   1002.43,   2300.37,    0.5642,    0.0540,      2132,    1.0000,
