Source DataFile                                                              ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
-----------------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Takuvik\DecayRef\20230926_SeGu1001_10C_1s_DecayRef_data.csv , 2023/09/26, 17:36:41,    1695760601278,--Not Acquired--     ,--Not Acquired--     , -1232.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     2.8053,     0.9739,    333.14,    754.02,   1896.08,    0.6023,    0.0620,      1139,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\DecayRef\20230926_SeGu1001_10C_1s_DecayRef_data.csv , 2023/09/26, 17:36:42,    1695760602774,--Not Acquired--     ,--Not Acquired--     , -1241.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2203,     0.9833,    361.77,    866.34,   1755.69,    0.5066,    0.2130,      1197,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\DecayRef\20230926_SeGu1001_10C_1s_DecayRef_data.csv , 2023/09/26, 17:36:44,    1695760604267,--Not Acquired--     ,--Not Acquired--     , -1238.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2400,     0.9816,    362.41,    865.54,   1759.73,    0.5081,    0.2220,      1055,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\DecayRef\20230926_SeGu1001_10C_1s_DecayRef_data.csv , 2023/09/26, 17:36:45,    1695760605785,--Not Acquired--     ,--Not Acquired--     , -1230.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.7171,     0.9785,    353.63,    823.53,   1821.45,    0.5479,    0.1470,      1068,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\DecayRef\20230926_SeGu1001_10C_1s_DecayRef_data.csv , 2023/09/26, 17:36:47,    1695760607279,--Not Acquired--     ,--Not Acquired--     , -1233.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.7740,     0.9794,    352.39,    828.00,   1818.71,    0.5447,    0.1530,      1115,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\DecayRef\20230926_SeGu1001_10C_1s_DecayRef_data.csv , 2023/09/26, 17:36:49,    1695760608802,--Not Acquired--     ,--Not Acquired--     , -1230.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.3457,     0.9805,    356.44,    849.88,   1787.40,    0.5245,    0.1760,      1115,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\DecayRef\20230926_SeGu1001_10C_1s_DecayRef_data.csv , 2023/09/26, 17:36:50,    1695760610310,--Not Acquired--     ,--Not Acquired--     , -1229.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.4246,     0.9803,    359.27,    847.90,   1791.74,    0.5268,    0.1770,      1083,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\DecayRef\20230926_SeGu1001_10C_1s_DecayRef_data.csv , 2023/09/26, 17:36:51,    1695760611815,--Not Acquired--     ,--Not Acquired--     , -1241.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.6027,     0.9796,    357.19,    837.40,   1807.92,    0.5368,    0.1600,      1086,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\DecayRef\20230926_SeGu1001_10C_1s_DecayRef_data.csv , 2023/09/26, 17:36:53,    1695760613293,--Not Acquired--     ,--Not Acquired--     , -1236.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.5248,     0.9797,    355.98,    839.09,   1805.04,    0.5351,    0.1600,      1099,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\DecayRef\20230926_SeGu1001_10C_1s_DecayRef_data.csv , 2023/09/26, 17:36:54,    1695760614792,--Not Acquired--     ,--Not Acquired--     , -1237.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.4148,     0.9804,    357.43,    846.20,   1797.45,    0.5292,    0.1690,      1116,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\DecayRef\20230926_SeGu1001_10C_1s_DecayRef_data.csv , 2023/09/26, 17:36:56,    1695760616286,--Not Acquired--     ,--Not Acquired--     , -1233.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.4808,     0.9799,    357.52,    844.07,   1800.38,    0.5312,    0.1650,      1093,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\DecayRef\20230926_SeGu1001_10C_1s_DecayRef_data.csv , 2023/09/26, 17:36:57,    1695760617793,--Not Acquired--     ,--Not Acquired--     , -1223.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.4808,     0.9801,    356.86,    842.14,   1801.97,    0.5327,    0.1620,      1112,    1.0000,
