----,
DateTime:        , 2023/09/26, 11:13:31, 1695737611759,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,          -88.46,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      65,
Lamps:,        #10000,
Gain:,             50,     100, 
SNR_raw:,     183.76,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    170.202,
    1,        0.8,    119.060,     173.764,    174.850,
    2,        3.3,    151.242,     183.660,    181.631,
    3,        5.8,    151.302,     191.448,    189.257,
    4,        8.3,    151.425,     198.252,    197.446,
    5,       10.8,    151.438,     206.080,    205.983,
    6,       13.3,    151.361,     214.007,    214.704,
    7,       15.8,    151.647,     221.912,    223.500,
    8,       18.3,    151.613,     230.365,    232.272,
    9,       20.8,    151.357,     239.331,    240.943,
   10,       23.3,    151.438,     248.038,    249.471,
   11,       25.8,    151.297,     256.372,    257.809,
   12,       28.3,    151.459,     265.156,    265.935,
   13,       30.8,    151.523,     273.228,    273.824,
   14,       33.3,    151.528,     281.456,    281.461,
   15,       35.8,    151.532,     289.222,    288.832,
   16,       38.3,    151.459,     296.174,    295.928,
   17,       40.8,    151.673,     303.920,    302.748,
   18,       43.3,    151.587,     310.701,    309.287,
   19,       45.8,    151.754,     317.517,    315.547,
   20,       48.3,    151.664,     323.071,    321.528,
   21,       50.8,    151.553,     329.339,    327.231,
   22,       53.3,    151.703,     334.196,    332.663,
   23,       55.8,    151.673,     339.022,    337.828,
   24,       58.3,    151.553,     343.367,    342.732,
   25,       60.8,    151.570,     348.026,    347.383,
   26,       63.3,    151.877,     352.168,    351.787,
   27,       65.8,    151.822,     355.761,    355.956,
   28,       68.3,    151.801,     359.922,    359.896,
   29,       70.8,    151.899,     363.284,    363.615,
