----,
DateTime:        , 2023/09/26, 16:28:51, 1695756531275,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,        -1236.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      65,
Lamps:,        #10000,
Gain:,              2,      25, 
SNR_raw:,     380.16,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    617.504,
    1,        0.8,    237.850,     662.989,    653.186,
    2,        3.3,    270.943,     717.743,    706.740,
    3,        5.8,    270.666,     765.859,    767.207,
    4,        8.3,    271.122,     818.791,    829.112,
    5,       10.8,    271.170,     875.250,    889.577,
    6,       13.3,    271.415,     933.597,    947.177,
    7,       15.8,    271.350,     990.759,   1001.276,
    8,       18.3,    271.561,    1044.855,   1051.657,
    9,       20.8,    271.415,    1096.079,   1098.352,
   10,       23.3,    271.431,    1143.539,   1141.480,
   11,       25.8,    271.382,    1187.779,   1181.239,
   12,       28.3,    271.659,    1226.509,   1217.827,
   13,       30.8,    271.512,    1262.160,   1251.505,
   14,       33.3,    271.659,    1294.609,   1282.453,
   15,       35.8,    271.708,    1322.164,   1310.894,
   16,       38.3,    271.805,    1348.730,   1337.015,
   17,       40.8,    271.903,    1371.599,   1361.002,
   18,       43.3,    272.066,    1391.913,   1383.015,
   19,       45.8,    272.001,    1411.548,   1403.241,
   20,       48.3,    272.033,    1428.656,   1421.802,
   21,       50.8,    272.180,    1442.767,   1438.817,
   22,       53.3,    272.115,    1457.261,   1454.444,
   23,       55.8,    272.115,    1469.572,   1468.778,
   24,       58.3,    271.968,    1481.946,   1481.944,
   25,       60.8,    272.261,    1491.370,   1493.967,
   26,       63.3,    272.066,    1501.997,   1505.031,
   27,       65.8,    272.245,    1510.376,   1515.145,
   28,       68.3,    272.082,    1519.181,   1524.447,
