Source DataFile                                                                     ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
------------------------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Takuvik20230927\DecayRef\20230927_SeGu1001_0C_1s_DecayRef_data.csv , 2023/09/27, 13:20:14,    1695831613875,--Not Acquired--     ,--Not Acquired--     ,   -59.20,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     1.3442,     0.9734,    211.67,    232.05,    576.32,    0.5974,    0.0000,      2542,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\DecayRef\20230927_SeGu1001_0C_1s_DecayRef_data.csv , 2023/09/27, 13:20:15,    1695831615369,--Not Acquired--     ,--Not Acquired--     ,   -57.20,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     0.3569,     0.9738,    213.01,    252.60,    539.96,    0.5322,    0.0000,      2534,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\DecayRef\20230927_SeGu1001_0C_1s_DecayRef_data.csv , 2023/09/27, 13:20:17,    1695831616857,--Not Acquired--     ,--Not Acquired--     ,   -60.80,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     0.2623,     0.9703,    210.22,    256.30,    538.87,    0.5244,    0.0080,      2019,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\DecayRef\20230927_SeGu1001_0C_1s_DecayRef_data.csv , 2023/09/27, 13:20:18,    1695831618363,--Not Acquired--     ,--Not Acquired--     ,   -55.20,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     0.6737,     0.9709,    213.71,    242.29,    558.98,    0.5665,    0.0000,      1993,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\DecayRef\20230927_SeGu1001_0C_1s_DecayRef_data.csv , 2023/09/27, 13:20:20,    1695831619873,--Not Acquired--     ,--Not Acquired--     ,   -56.40,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     0.7760,     0.9721,    213.33,    240.01,    562.40,    0.5732,    0.0000,      2200,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\DecayRef\20230927_SeGu1001_0C_1s_DecayRef_data.csv , 2023/09/27, 13:20:21,    1695831621380,--Not Acquired--     ,--Not Acquired--     ,   -52.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     0.5002,     0.9723,    210.09,    250.19,    551.19,    0.5461,    0.0000,      2424,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\DecayRef\20230927_SeGu1001_0C_1s_DecayRef_data.csv , 2023/09/27, 13:20:23,    1695831622882,--Not Acquired--     ,--Not Acquired--     ,   -55.40,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     0.5885,     0.9712,    210.59,    251.97,    549.41,    0.5414,    0.0000,      2207,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\DecayRef\20230927_SeGu1001_0C_1s_DecayRef_data.csv , 2023/09/27, 13:20:24,    1695831624387,--Not Acquired--     ,--Not Acquired--     ,   -52.20,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     0.6976,     0.9715,    213.80,    245.36,    555.49,    0.5583,    0.0000,      2078,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\DecayRef\20230927_SeGu1001_0C_1s_DecayRef_data.csv , 2023/09/27, 13:20:26,    1695831625904,--Not Acquired--     ,--Not Acquired--     ,   -57.40,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     0.5900,     0.9726,    213.32,    245.52,    557.46,    0.5596,    0.0000,      2277,    1.0000,
