----,
DateTime:        , 2023/09/27, 14:31:00, 1695835860644,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,          -56.20,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      65,
Lamps:,        #10000,
Gain:,              5,      50, 
SNR_raw:,     432.08,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    231.352,
    1,        0.8,    319.741,     241.679,    241.178,
    2,        3.3,    360.726,     256.349,    254.860,
    3,        5.8,    361.243,     269.333,    269.988,
    4,        8.3,    361.549,     283.599,    285.457,
    5,       10.8,    361.439,     298.791,    300.649,
    6,       13.3,    361.580,     313.664,    315.241,
    7,       15.8,    361.674,     328.237,    329.074,
    8,       18.3,    361.799,     342.164,    342.085,
    9,       20.8,    361.721,     355.342,    354.261,
   10,       23.3,    361.909,     367.592,    365.622,
   11,       25.8,    361.940,     378.722,    376.203,
   12,       28.3,    362.065,     389.307,    386.045,
   13,       30.8,    362.191,     398.560,    395.193,
   14,       33.3,    362.520,     406.750,    403.690,
   15,       35.8,    362.473,     414.693,    411.586,
   16,       38.3,    362.426,     421.479,    418.919,
   17,       40.8,    362.755,     427.933,    425.723,
   18,       43.3,    362.645,     433.964,    432.044,
   19,       45.8,    362.700,     439.357,    437.911,
   20,       48.3,    362.708,     444.476,    443.357,
   21,       50.8,    362.770,     448.810,    448.411,
   22,       53.3,    362.692,     452.987,    453.104,
   23,       55.8,    362.825,     456.955,    457.457,
   24,       58.3,    363.076,     460.165,    461.493,
   25,       60.8,    362.966,     463.831,    465.243,
   26,       63.3,    362.950,     467.157,    468.725,
   27,       65.8,    362.974,     469.992,    471.956,
   28,       68.3,    363.060,     472.910,    474.953,
   29,       70.8,    363.287,     474.762,    477.730,
