----,
DateTime:        , 2023/09/25, 10:49:44, 1695649784037,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      55,
Lamps:,        #10000,
Gain:,              2,       1, 
SNR_raw:,      98.15,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    974.067,
    1,        0.8,    221.882,    1058.669,   1040.419,
    2,        3.3,    272.746,    1104.828,   1120.748,
    3,        5.8,    271.271,    1142.582,   1199.054,
    4,        8.3,    274.220,    1208.883,   1275.573,
    5,       10.8,    273.483,    1292.768,   1348.874,
    6,       13.3,    272.009,    1380.839,   1418.465,
    7,       15.8,    274.957,    1445.498,   1484.844,
    8,       18.3,    269.797,    1547.088,   1546.675,
    9,       20.8,    274.957,    1587.156,   1605.298,
   10,       23.3,    272.746,    1664.554,   1659.853,
   11,       25.8,    273.483,    1716.012,   1710.722,
   12,       28.3,    272.009,    1778.253,   1757.857,
   13,       30.8,    274.220,    1811.137,   1801.635,
   14,       33.3,    271.271,    1872.110,   1841.969,
   15,       35.8,    274.957,    1883.929,   1879.270,
   16,       38.3,    270.534,    1947.442,   1913.538,
   17,       40.8,    273.483,    1956.064,   1945.047,
   18,       43.3,    272.746,    1988.115,   1973.974,
   19,       45.8,    274.220,    2000.583,   2000.474,
   20,       48.3,    274.220,    2022.281,   2024.745,
   21,       50.8,    267.586,    2092.227,   2047.134,
   22,       53.3,    271.271,    2078.361,   2067.433,
   23,       55.8,    269.797,    2106.212,   2086.028,
   24,       58.3,    272.009,    2103.242,   2102.884,
   25,       60.8,    273.483,    2106.530,   2118.187,
   26,       63.3,    270.534,    2140.394,   2132.321,
   27,       65.8,    271.271,    2145.637,   2145.142,
