----,
DateTime:        , 2023/09/26, 12:31:43, 1695742303158,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      55,
Lamps:,        #10000,
Gain:,            100,      10, 
SNR_raw:,     165.18,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,     29.693,
    1,        0.8,    152.344,      30.759,     31.084,
    2,        3.3,    180.572,      32.882,     32.706,
    3,        5.8,    180.813,      34.671,     34.296,
    4,        8.3,    180.693,      36.222,     35.836,
    5,       10.8,    180.773,      37.102,     37.319,
    6,       13.3,    180.572,      38.755,     38.737,
    7,       15.8,    180.813,      39.754,     40.088,
    8,       18.3,    181.215,      41.078,     41.372,
    9,       20.8,    180.894,      42.384,     42.583,
   10,       23.3,    180.934,      43.778,     43.725,
   11,       25.8,    181.054,      44.688,     44.800,
   12,       28.3,    180.934,      45.956,     45.808,
   13,       30.8,    180.733,      46.876,     46.752,
   14,       33.3,    180.894,      47.586,     47.635,
   15,       35.8,    181.054,      48.372,     48.461,
   16,       38.3,    181.054,      49.035,     49.232,
   17,       40.8,    180.974,      50.223,     49.950,
   18,       43.3,    180.894,      50.720,     50.620,
   19,       45.8,    181.456,      51.511,     51.244,
   20,       48.3,    180.853,      51.898,     51.825,
   21,       50.8,    181.215,      52.518,     52.365,
   22,       53.3,    181.416,      52.774,     52.867,
   23,       55.8,    181.416,      53.391,     53.333,
   24,       58.3,    181.094,      53.856,     53.767,
   25,       60.8,    181.295,      54.193,     54.170,
   26,       63.3,    181.215,      54.780,     54.544,
   27,       65.8,    181.255,      54.630,     54.891,
   28,       68.3,    181.255,      55.320,     55.214,
   29,       70.8,    181.255,      55.292,     55.513,
