----,
DateTime:        , 2023/09/26, 14:27:41, 1695749261375,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      55,
Lamps:,        #10000,
Gain:,             25,     100, 
SNR_raw:,      31.13,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,     29.422,
    1,        0.8,    238.448,      29.138,     28.790,
    2,        3.3,    271.593,      27.912,     28.250,
    3,        5.8,    271.593,      26.834,     27.873,
    4,        8.3,    271.593,      26.908,     27.619,
    5,       10.8,    271.593,      27.085,     27.461,
    6,       13.3,    271.593,      27.453,     27.374,
    7,       15.8,    271.593,      27.040,     27.339,
    8,       18.3,    271.593,      27.585,     27.344,
    9,       20.8,    271.593,      27.527,     27.375,
   10,       23.3,    271.593,      27.438,     27.425,
   11,       25.8,    271.593,      27.541,     27.487,
   12,       28.3,    271.593,      27.792,     27.555,
   13,       30.8,    271.593,      27.836,     27.625,
   14,       33.3,    271.593,      27.762,     27.695,
   15,       35.8,    271.593,      27.821,     27.763,
   16,       38.3,    271.593,      27.968,     27.826,
   17,       40.8,    271.593,      27.954,     27.885,
   18,       43.3,    271.593,      27.762,     27.939,
   19,       45.8,    271.593,      28.071,     27.988,
   20,       48.3,    271.593,      28.101,     28.032,
   21,       50.8,    271.593,      27.968,     28.070,
   22,       53.3,    271.593,      28.027,     28.104,
   23,       55.8,    271.593,      28.130,     28.134,
   24,       58.3,    271.593,      28.130,     28.160,
   25,       60.8,    271.593,      28.160,     28.183,
   26,       63.3,    271.593,      28.160,     28.202,
   27,       65.8,    271.593,      28.116,     28.219,
   28,       68.3,    271.593,      28.204,     28.234,
   29,       70.8,    271.593,      27.998,     28.246,
