----,
DateTime:        , 2023/09/25, 11:25:57, 1695651957751,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      55,
Lamps:,        #10000,
Gain:,              2,       1, 
SNR_raw:,      84.48,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    873.135,
    1,        0.8,    219.698,     982.258,    937.773,
    2,        3.3,    273.319,    1027.370,   1017.947,
    3,        5.8,    270.340,    1064.030,   1096.518,
    4,        8.3,    269.595,    1146.162,   1173.141,
    5,       10.8,    271.830,    1217.491,   1247.751,
    6,       13.3,    271.830,    1298.424,   1319.261,
    7,       15.8,    270.340,    1383.443,   1387.001,
    8,       18.3,    271.830,    1448.702,   1451.244,
    9,       20.8,    271.830,    1516.576,   1511.568,
   10,       23.3,    270.340,    1587.445,   1567.720,
   11,       25.8,    270.340,    1643.116,   1619.927,
   12,       28.3,    271.830,    1683.592,   1668.403,
   13,       30.8,    271.085,    1733.775,   1713.045,
   14,       33.3,    273.319,    1758.202,   1754.222,
   15,       35.8,    272.574,    1798.592,   1791.898,
   16,       38.3,    272.574,    1830.327,   1826.309,
   17,       40.8,    271.830,    1862.197,   1857.636,
   18,       43.3,    269.595,    1904.707,   1886.067,
   19,       45.8,    272.574,    1905.169,   1911.884,
   20,       48.3,    269.595,    1945.880,   1935.261,
   21,       50.8,    273.319,    1937.480,   1956.363,
   22,       53.3,    271.830,    1965.018,   1975.438,
   23,       55.8,    271.085,    1985.172,   1992.648,
   24,       58.3,    269.595,    2011.719,   2008.181,
   25,       60.8,    271.085,    2012.101,   2022.095,
   26,       63.3,    270.340,    2031.146,   2034.626,
   27,       65.8,    271.830,    2028.661,   2045.810,
