----,
DateTime:        , 2023/09/25, 12:11:38, 1695654698462,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,        -1283.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      65,
Lamps:,        #10000,
Gain:,              2,       1, 
SNR_raw:,     148.07,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    497.249,
    1,        0.8,    240.859,     514.082,    515.631,
    2,        3.3,    270.711,     545.222,    540.992,
    3,        5.8,    271.120,     572.886,    569.541,
    4,        8.3,    271.529,     599.829,    599.698,
    5,       10.8,    271.529,     628.555,    630.439,
    6,       13.3,    272.756,     655.608,    661.200,
    7,       15.8,    271.120,     689.808,    691.402,
    8,       18.3,    271.120,     719.869,    720.834,
    9,       20.8,    270.711,     749.585,    749.292,
   10,       23.3,    273.165,     771.223,    776.788,
   11,       25.8,    270.711,     806.102,    803.045,
   12,       28.3,    271.120,     830.521,    828.082,
   13,       30.8,    272.756,     851.387,    851.920,
   14,       33.3,    271.529,     878.252,    874.468,
   15,       35.8,    273.983,     891.738,    895.798,
   16,       38.3,    274.392,     911.365,    915.897,
   17,       40.8,    270.302,     944.205,    934.693,
   18,       43.3,    271.529,     957.433,    952.234,
   19,       45.8,    273.983,     965.101,    968.605,
   20,       48.3,    273.165,     982.633,    983.856,
   21,       50.8,    272.347,     998.803,    998.010,
   22,       53.3,    271.529,    1015.438,   1011.105,
   23,       55.8,    272.756,    1022.969,   1023.177,
   24,       58.3,    271.529,    1036.798,   1034.326,
   25,       60.8,    272.756,    1043.500,   1044.557,
   26,       63.3,    272.347,    1053.329,   1053.971,
   27,       65.8,    272.347,    1062.324,   1062.604,
   28,       68.3,    271.120,    1073.955,   1070.533,
   29,       70.8,    271.529,    1080.072,   1077.754,
