Source DataFile                                                ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
---------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1002_2C_RLC_data.csv , 2023/09/25, 12:11:38,    1695654698462,--Not Acquired--     ,--Not Acquired--     , -1283.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     0.8018,     0.9744,    257.93,    497.25,   1215.70,    0.5910,    0.2950,      1227,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1002_2C_RLC_data.csv , 2023/09/25, 12:11:49,    1695654708971,--Not Acquired--     ,--Not Acquired--     , -1273.50,     0.0000,      0.0000,  NO DATA,    '10000,     20.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     0.4247,     0.9565,    235.49,    603.98,   1240.22,    0.5130,    0.1440,      1263,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1002_2C_RLC_data.csv , 2023/09/25, 12:11:50,    1695654710508,--Not Acquired--     ,--Not Acquired--     , -1284.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.5760,     0.9725,    256.91,    530.03,   1192.03,    0.5554,    0.2710,      1219,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1002_2C_RLC_data.csv , 2023/09/25, 12:12:01,    1695654721024,--Not Acquired--     ,--Not Acquired--     , -1271.50,     0.0000,      0.0000,  NO DATA,    '10000,     30.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     0.4708,     0.9552,    226.44,    654.09,   1275.72,    0.4873,    0.0980,      1765,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1002_2C_RLC_data.csv , 2023/09/25, 12:12:02,    1695654722578,--Not Acquired--     ,--Not Acquired--     , -1288.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.4596,     0.9644,    240.88,    543.96,   1243.80,    0.5627,    0.1920,      1371,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1002_2C_RLC_data.csv , 2023/09/25, 12:12:13,    1695654733083,--Not Acquired--     ,--Not Acquired--     , -1254.50,     0.0000,      0.0000,  NO DATA,    '10000,     50.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.2410,     0.9454,    214.02,    800.13,   1356.58,    0.4102,    0.0000,      2615,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1002_2C_RLC_data.csv , 2023/09/25, 12:12:14,    1695654734612,--Not Acquired--     ,--Not Acquired--     , -1274.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.4771,     0.9570,    233.20,    600.74,   1323.28,    0.5460,    0.0680,      1868,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1002_2C_RLC_data.csv , 2023/09/25, 12:12:25,    1695654745139,--Not Acquired--     ,--Not Acquired--     , -1226.00,     0.0000,      0.0000,  NO DATA,    '10000,    100.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.5283,     0.9463,    202.21,   1081.34,   1464.21,    0.2615,    0.0000,      7136,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1002_2C_RLC_data.csv , 2023/09/25, 12:12:26,    1695654746683,--Not Acquired--     ,--Not Acquired--     , -1274.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     0.8467,     0.9516,    235.10,    623.38,   1337.93,    0.5341,    0.0000,      1827,    1.0000,
