----,
DateTime:        , 2023/09/25, 12:48:47, 1695656927036,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,          -18.62,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      65,
Lamps:,        #10000,
Gain:,            250,     250, 
SNR_raw:,      19.78,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      5.823,
    1,        0.8,    251.156,       5.593,      5.903,
    2,        3.3,    271.295,       5.907,      5.982,
    3,        5.8,    271.295,       6.198,      6.056,
    4,        8.3,    271.295,       6.310,      6.124,
    5,       10.8,    271.295,       6.239,      6.187,
    6,       13.3,    271.295,       6.415,      6.245,
    7,       15.8,    271.295,       6.416,      6.299,
    8,       18.3,    271.295,       6.517,      6.349,
    9,       20.8,    271.295,       6.502,      6.394,
   10,       23.3,    271.295,       6.405,      6.436,
   11,       25.8,    271.295,       6.542,      6.475,
   12,       28.3,    271.295,       6.483,      6.510,
   13,       30.8,    271.295,       6.565,      6.543,
   14,       33.3,    271.295,       6.483,      6.573,
   15,       35.8,    271.295,       6.692,      6.600,
   16,       38.3,    271.295,       6.719,      6.625,
   17,       40.8,    271.295,       6.695,      6.648,
   18,       43.3,    271.295,       6.630,      6.669,
   19,       45.8,    271.295,       6.626,      6.688,
   20,       48.3,    271.295,       6.654,      6.705,
   21,       50.8,    271.295,       6.654,      6.720,
   22,       53.3,    271.295,       6.779,      6.734,
   23,       55.8,    271.295,       6.620,      6.747,
   24,       58.3,    271.295,       6.757,      6.758,
   25,       60.8,    271.295,       6.764,      6.768,
   26,       63.3,    271.295,       6.786,      6.777,
   27,       65.8,    271.295,       6.748,      6.785,
   28,       68.3,    271.295,       6.778,      6.791,
   29,       70.8,    271.295,       6.876,      6.797,
