----,
DateTime:        , 2023/09/25, 14:29:06, 1695662945889,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,          167.80,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      65,
Lamps:,        #10000,
Gain:,             10,     100, 
SNR_raw:,     287.02,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,     43.271,
    1,        0.8,    511.849,      42.651,     44.315,
    2,        3.3,    542.444,      44.894,     45.353,
    3,        5.8,    542.444,      47.011,     46.326,
    4,        8.3,    542.444,      47.877,     47.237,
    5,       10.8,    542.444,      48.762,     48.091,
    6,       13.3,    542.444,      49.444,     48.891,
    7,       15.8,    542.444,      50.108,     49.641,
    8,       18.3,    542.444,      50.845,     50.343,
    9,       20.8,    542.444,      51.509,     51.001,
   10,       23.3,    542.444,      52.025,     51.617,
   11,       25.8,    542.444,      52.597,     52.195,
   12,       28.3,    542.444,      53.076,     52.735,
   13,       30.8,    542.444,      53.574,     53.242,
   14,       33.3,    542.444,      53.998,     53.717,
   15,       35.8,    542.444,      54.274,     54.161,
   16,       38.3,    542.444,      54.717,     54.578,
   17,       40.8,    542.444,      55.030,     54.968,
   18,       43.3,    542.444,      55.380,     55.333,
   19,       45.8,    542.444,      55.749,     55.675,
   20,       48.3,    542.444,      55.915,     55.996,
   21,       50.8,    542.444,      56.191,     56.296,
   22,       53.3,    542.444,      56.302,     56.577,
   23,       55.8,    542.444,      56.726,     56.840,
   24,       58.3,    542.444,      56.874,     57.087,
   25,       60.8,    542.444,      57.132,     57.317,
   26,       63.3,    542.444,      57.371,     57.534,
   27,       65.8,    542.444,      57.482,     57.736,
   28,       68.3,    542.444,      57.648,     57.926,
   29,       70.8,    542.444,      57.906,     58.103,
