----,
DateTime:        , 2023/09/25, 15:13:15, 1695665595730,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      55,
Lamps:,        #10000,
Gain:,              1,       1, 
SNR_raw:,      70.87,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,   -124.652,
    1,        0.8,    218.586,    -107.052,   -109.655,
    2,        3.3,    269.540,     -92.857,    -92.649,
    3,        5.8,    272.494,     -81.470,    -77.093,
    4,        8.3,    271.017,     -81.176,    -63.154,
    5,       10.8,    271.017,     -81.176,    -50.605,
    6,       13.3,    272.494,     -78.901,    -39.251,
    7,       15.8,    273.971,     -76.286,    -28.995,
    8,       18.3,    271.755,     -77.275,    -19.924,
    9,       20.8,    271.017,     -74.534,    -11.847,
   10,       23.3,    271.017,     -73.796,     -4.633,
   11,       25.8,    269.540,     -72.345,      1.740,
   12,       28.3,    269.540,     -72.345,      7.420,
   13,       30.8,    269.540,     -71.974,     12.478,
   14,       33.3,    271.017,     -70.475,     17.034,
   15,       35.8,    273.232,     -67.708,     21.163,
   16,       38.3,    271.755,     -68.812,     24.775,
   17,       40.8,    271.017,     -67.154,     27.952,
   18,       43.3,    270.278,     -65.858,     30.744,
   19,       45.8,    273.971,     -63.875,     33.342,
   20,       48.3,    271.017,     -64.572,     35.545,
   21,       50.8,    271.755,     -65.132,     37.519,
   22,       53.3,    273.971,     -65.335,     39.335,
   23,       55.8,    271.755,     -64.396,     40.872,
   24,       58.3,    273.971,     -62.780,     42.299,
   25,       60.8,    273.232,     -61.486,     43.537,
   26,       63.3,    273.971,     -62.780,     44.653,
   27,       65.8,    269.540,     -61.957,     45.507,
   28,       68.3,    271.017,     -62.358,     46.306,
