Source DataFile                                                ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
---------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_16s_data.csv , 2023/09/25, 15:13:15,    1695665595730,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,  9999.0000,     0.9614,    400.00,      0.00,      0.00,    0.9900,    0.1000,       500,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_16s_data.csv , 2023/09/25, 15:13:32,    1695665612233,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.1547,     0.9835,    234.71,     26.62,     58.53,    0.5453,    0.1900, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_16s_data.csv , 2023/09/25, 15:13:39,    1695665619512,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     0.7745,     0.9842,    235.94,     34.39,     64.82,    0.4695,    0.1960, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_16s_data.csv , 2023/09/25, 15:13:57,    1695665637211,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     1.6372,     0.9914,    221.31,     31.60,     62.95,    0.4980,    0.0890, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_16s_data.csv , 2023/09/25, 15:14:13,    1695665653399,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.3432,     0.9912,    228.97,     30.88,     60.91,    0.4930,    0.0430, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_16s_data.csv , 2023/09/25, 15:23:21,    1695666201450,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   212  ,     4.9960,     0.9932,    250.32,     20.82,     40.02,    0.4797,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_16s_data.csv , 2023/09/25, 15:23:38,    1695666218013,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.5426,     0.9954,    249.93,     22.30,     38.52,    0.4211,    0.0880, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_16s_data.csv , 2023/09/25, 15:23:54,    1695666234569,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   221  ,     1.5940,     0.9950,    247.23,     22.57,     38.04,    0.4067,    0.0840, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_16s_data.csv , 2023/09/25, 15:24:11,    1695666251145,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   211  ,     2.7959,     0.9934,    250.70,     21.84,     38.52,    0.4330,    0.0030, 1.000e+07,    1.0000,
