Source DataFile                                               ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
--------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_1s_data.csv , 2023/09/25, 15:44:34,    1695667474610,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.8180,     0.9929,    247.61,     19.83,     33.62,    0.4101,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_1s_data.csv , 2023/09/25, 15:44:36,    1695667476172,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     3.3906,     0.9878,    234.62,     20.69,     33.32,    0.3790,    0.0000,      9656,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_1s_data.csv , 2023/09/25, 15:44:37,    1695667477643,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   211  ,     2.0559,     0.9894,    239.77,     20.94,     33.22,    0.3696,    0.0000,     12812,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_1s_data.csv , 2023/09/25, 15:44:39,    1695667479137,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   221  ,     1.7012,     0.9880,    235.18,     20.64,     33.86,    0.3903,    0.0000,     10164,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_1s_data.csv , 2023/09/25, 15:44:40,    1695667480636,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.4562,     0.9893,    239.36,     20.59,     33.87,    0.3921,    0.0000,     12550,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_1s_data.csv , 2023/09/25, 15:44:42,    1695667482158,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.3050,     0.9887,    237.82,     20.92,     33.62,    0.3779,    0.0000,     10729,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_1s_data.csv , 2023/09/25, 15:44:43,    1695667483640,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   211  ,     1.6887,     0.9890,    238.67,     20.89,     33.56,    0.3774,    0.0000,     11662,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_1s_data.csv , 2023/09/25, 15:44:45,    1695667485131,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   211  ,     2.5460,     0.9878,    233.88,     20.66,     33.84,    0.3896,    0.0000,     10300,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_1s_data.csv , 2023/09/25, 15:44:46,    1695667486628,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.9862,     0.9869,    232.02,     20.81,     33.81,    0.3845,    0.0000,      8728,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_1s_data.csv , 2023/09/25, 15:44:48,    1695667488114,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   121  ,     1.6234,     0.9894,    240.53,     20.79,     33.78,    0.3847,    0.0000,     11689,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_1s_data.csv , 2023/09/25, 15:44:49,    1695667489595,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   112  ,     2.1444,     0.9878,    230.33,     20.98,     33.70,    0.3775,    0.0000,     13869,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_1s_data.csv , 2023/09/25, 15:44:51,    1695667491092,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     3.6468,     0.9893,    238.01,     20.65,     33.75,    0.3880,    0.0000,     14191,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_1s_data.csv , 2023/09/25, 15:44:52,    1695667492585,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.1858,     0.9897,    242.26,     20.89,     33.85,    0.3828,    0.0000,     11661,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_1s_data.csv , 2023/09/25, 15:44:54,    1695667494093,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.6800,     0.9919,    241.39,     20.80,     33.85,    0.3855,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_1s_data.csv , 2023/09/25, 15:44:55,    1695667495653,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.9897,     0.9882,    236.65,     20.69,     33.82,    0.3884,    0.0000,      9899,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_1s_data.csv , 2023/09/25, 15:44:57,    1695667497149,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.6644,     0.9889,    235.22,     20.80,     33.78,    0.3843,    0.0000,     14804,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_1s_data.csv , 2023/09/25, 15:44:58,    1695667498642,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.3511,     0.9885,    236.95,     20.77,     33.84,    0.3861,    0.0000,     10893,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_1s_data.csv , 2023/09/25, 15:45:00,    1695667500125,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     4.1231,     0.9930,    248.92,     20.83,     33.82,    0.3840,    0.0000,    521155,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_1s_data.csv , 2023/09/25, 15:45:01,    1695667501701,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.5811,     0.9898,    238.78,     20.88,     33.83,    0.3828,    0.0000,     16577,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_1s_data.csv , 2023/09/25, 15:45:03,    1695667503209,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     3.7750,     0.9888,    237.93,     20.76,     33.86,    0.3870,    0.0000,     10980,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_1s_data.csv , 2023/09/25, 15:45:04,    1695667504711,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   112  ,     2.4671,     0.9931,    249.35,     20.65,     33.83,    0.3897,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_1s_data.csv , 2023/09/25, 15:45:06,    1695667506276,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.0953,     0.9915,    245.96,     21.12,     33.91,    0.3771,    0.0000,     24817,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_1s_data.csv , 2023/09/25, 15:45:07,    1695667507777,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     3.1959,     0.9889,    237.76,     21.07,     33.88,    0.3782,    0.0000,     11849,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_1s_data.csv , 2023/09/25, 15:45:09,    1695667509284,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   122  ,     4.0201,     0.9881,    237.10,     20.63,     33.74,    0.3886,    0.0000,      9233,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_1s_data.csv , 2023/09/25, 15:45:10,    1695667510773,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.3661,     0.9911,    247.44,     20.90,     33.88,    0.3831,    0.0000,     15949,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_1s_data.csv , 2023/09/25, 15:45:12,    1695667512283,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.6613,     0.9870,    229.95,     20.88,     33.86,    0.3834,    0.0000,     10230,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_1s_data.csv , 2023/09/25, 15:45:13,    1695667513790,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     3.3200,     0.9923,    243.65,     20.72,     33.87,    0.3884,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_1s_data.csv , 2023/09/25, 15:45:15,    1695667515385,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   222  ,     3.3845,     0.9869,    232.40,     20.83,     33.87,    0.3851,    0.0000,      8360,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_1s_data.csv , 2023/09/25, 15:45:17,    1695667516898,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.3849,     0.9919,    241.43,     20.80,     33.78,    0.3843,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_1s_data.csv , 2023/09/25, 15:45:18,    1695667518454,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   122  ,     1.7754,     0.9923,    243.97,     20.95,     33.84,    0.3811,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_1s_data.csv , 2023/09/25, 15:45:20,    1695667520016,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.6015,     0.9907,    241.56,     20.68,     33.84,    0.3888,    0.0000,     23091,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\RLC\20230925_SeGu1007_2C_1s_data.csv , 2023/09/25, 15:45:21,    1695667521544,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   112  ,     4.6561,     0.9856,    228.02,     20.90,     33.83,    0.3823,    0.0000,      7659,    1.0000,
